k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10
1, 0, 0, 0, 0, 0, 0.434472, 0.497961, 0.67818, 0.679059, 0.73806, 0.738809, 0.881128, 0.959036, 1.05533
2, 0, 0.0454545, 0, 0.0524864, 0.0274046, 0.433363, 0.496006, 0.677736, 0.679639, 0.739174, 0.741384, 0.88075, 0.957141, 1.0521
3, 0, 0.0909091, 0, 0.104973, 0.0547731, 0.430093, 0.490315, 0.676159, 0.682106, 0.741978, 0.748915, 0.879609, 0.951518, 1.04286
4, 0, 0.136364, 0, 0.157459, 0.0820678, 0.424789, 0.48143, 0.673818, 0.687005, 0.746199, 0.760017, 0.877728, 0.942448, 1.03133
5, 0, 0.181818, 0, 0.209946, 0.109247, 0.417473, 0.470299, 0.671102, 0.69457, 0.751445, 0.773342, 0.875152, 0.930482, 1.01924
6, 0, 0.227273, 0, 0.262432, 0.136263, 0.407899, 0.458257, 0.668317, 0.704649, 0.757325, 0.78777, 0.871966, 0.916395, 1.007
7, 0, 0.272727, 0, 0.314918, 0.163055, 0.39555, 0.44685, 0.665686, 0.716868, 0.763476, 0.802281, 0.868311, 0.90111, 0.99472
8, 0, 0.318182, 0, 0.367405, 0.189544, 0.380068, 0.43733, 0.663369, 0.730777, 0.769537, 0.815574, 0.864404, 0.885851, 0.982563
9, 0, 0.363636, 0, 0.419891, 0.215602, 0.361722, 0.430181, 0.661474, 0.745909, 0.775104, 0.825011, 0.860564, 0.873051, 0.970921
10, 0, 0.409091, 0, 0.472377, 0.240978, 0.341324, 0.425303, 0.660074, 0.761714, 0.779701, 0.825244, 0.857221, 0.867599, 0.960573
11, 0, 0.454545, 0, 0.524864, 0.264813, 0.320261, 0.422472, 0.659217, 0.777121, 0.782792, 0.81578, 0.854891, 0.869481, 0.952952
12, 0, 0.5, 0, 0.57735, 0.279687, 0.306276, 0.421544, 0.65893, 0.783893, 0.786435, 0.807729, 0.854044, 0.871218, 0.950029
13, -0.030303, 0.484848, 0, 0.578145, 0.28015, 0.306531, 0.420556, 0.659778, 0.77873, 0.791623, 0.807315, 0.853962, 0.871332, 0.950055
14, -0.0606061, 0.469697, 0, 0.580523, 0.281536, 0.307291, 0.417637, 0.662272, 0.772579, 0.797843, 0.806088, 0.853777, 0.871606, 0.95013
15, -0.0909091, 0.454545, 0, 0.584464, 0.283828, 0.308551, 0.41291, 0.666276, 0.766453, 0.804063, 0.804135, 0.853538, 0.871903, 0.950244
16, -0.121212, 0.439394, 0, 0.589937, 0.286999, 0.310301, 0.406552, 0.671589, 0.7604, 0.801552, 0.810242, 0.853286, 0.872063, 0.950378
17, -0.151515, 0.424242, 0, 0.5969, 0.291012, 0.312525, 0.398768, 0.677966, 0.754442, 0.798514, 0.816301, 0.853027, 0.871947, 0.950509
18, -0.181818, 0.409091, 0, 0.605303, 0.295825, 0.315205, 0.389761, 0.685142, 0.748596, 0.795183, 0.822189, 0.852721, 0.871481, 0.950608
19, -0.212121, 0.393939, 0, 0.615084, 0.301386, 0.318316, 0.379726, 0.692831, 0.742878, 0.791754, 0.827832, 0.852275, 0.87068, 0.950647
20, -0.242424, 0.378788, 0, 0.626181, 0.307642, 0.321827, 0.368838, 0.700718, 0.7373, 0.788456, 0.833137, 0.851531, 0.869668, 0.950605
21, -0.272727, 0.363636, 0, 0.638524, 0.314533, 0.325683, 0.357264, 0.708428, 0.731875, 0.785574, 0.837985, 0.850287, 0.868676, 0.950479
22, -0.30303, 0.348485, 0, 0.652043, 0.322001, 0.329708, 0.345272, 0.715492, 0.726619, 0.783489, 0.842227, 0.84835, 0.867969, 0.950305
23, -0.333333, 0.333333, 0, 0.666667, 0.329874, 0.330328, 0.336613, 0.721224, 0.721651, 0.782669, 0.845664, 0.845685, 0.86773, 0.950172
24, -0.30303, 0.30303, 0, 0.606061, 0.304649, 0.345207, 0.347571, 0.711608, 0.727398, 0.786369, 0.839013, 0.849374, 0.868617, 0.951096
25, -0.272727, 0.272727, 0, 0.545455, 0.276699, 0.356155, 0.366148, 0.702864, 0.725631, 0.794212, 0.833619, 0.847764, 0.871235, 0.954357
26, -0.242424, 0.242424, 0, 0.484848, 0.247723, 0.367777, 0.385574, 0.695101, 0.719851, 0.796019, 0.836663, 0.840568, 0.875503, 0.960896
27, -0.212121, 0.212121, 0, 0.424242, 0.218004, 0.379685, 0.405355, 0.688443, 0.712672, 0.78887, 0.828842, 0.848031, 0.882138, 0.970495
28, -0.181818, 0.181818, 0, 0.363636, 0.187723, 0.391494, 0.424957, 0.683026, 0.70529, 0.778484, 0.814148, 0.859499, 0.892599, 0.982356
29, -0.151515, 0.151515, 0, 0.30303, 0.15701, 0.402782, 0.443778, 0.679002, 0.698279, 0.767758, 0.79791, 0.867533, 0.90694, 0.995717
30, -0.121212, 0.121212, 0, 0.242424, 0.125967, 0.413085, 0.461109, 0.676518, 0.691975, 0.757884, 0.781334, 0.872839, 0.922709, 1.01
31, -0.0909091, 0.0909091, 0, 0.181818, 0.0946781, 0.421894, 0.476112, 0.675644, 0.686645, 0.749561, 0.76558, 0.876535, 0.937367, 1.02468
32, -0.0606061, 0.0606061, 0, 0.121212, 0.0632129, 0.428688, 0.487842, 0.676207, 0.68255, 0.74328, 0.751999, 0.879088, 0.94906, 1.03899
33, -0.030303, 0.030303, 0, 0.0606061, 0.0316342, 0.432995, 0.495364, 0.677487, 0.679952, 0.739381, 0.742379, 0.880616, 0.956502, 1.05078
34, 0, 0, 0, 0, 0, 0.434472, 0.497961, 0.67818, 0.679058, 0.73806, 0.738809, 0.881128, 0.959036, 1.05533
