param_name,param_value,band_4,band_6
r2,0.3650418813780045,0.712096,0.724205
r2,0.3651423838905673,0.71237,0.724307
r2,0.36524288640313013,0.712644,0.724409
r2,0.3653433889156929,0.712919,0.72451
r2,0.36544389142825573,0.713194,0.724612
r2,0.36554439394081856,0.713469,0.724712
r2,0.3656448964533814,0.713744,0.724813
r2,0.36574539896594416,0.714022,0.724915
r2,0.365845901478507,0.7143,0.725016
r2,0.3659464039910698,0.714575,0.725115
r2,0.36604690650363264,0.714854,0.725216
r2,0.3661474090161954,0.715132,0.725317
r2,0.36624791152875824,0.715411,0.725417
r2,0.36634841404132107,0.715688,0.725516
r2,0.3664489165538839,0.715966,0.725615
r2,0.36654941906644667,0.716246,0.725715
r2,0.3666499215790095,0.716525,0.725814
r2,0.3667504240915723,0.716807,0.725913
r2,0.36685092660413515,0.717092,0.726014
r2,0.3669514291166979,0.717373,0.726112
r2,0.36705193162926075,0.717655,0.72621
r2,0.3671524341418236,0.717935,0.726308
r2,0.3672529366543864,0.718216,0.726406
r2,0.3673534391669492,0.718499,0.726503
r2,0.367453941679512,0.71878,0.726601
r2,0.36755444419207484,0.719066,0.726699
r2,0.36765494670463766,0.719351,0.726797
r2,0.36775544921720044,0.719635,0.726894
r2,0.36785595172976326,0.71992,0.726991
r2,0.3679564542423261,0.720205,0.727087
r2,0.3680569567548889,0.720492,0.727184
r2,0.3681574592674517,0.72078,0.72728
r2,0.3682579617800145,0.721062,0.727374
r2,0.36835846429257735,0.721359,0.727472
r2,0.3684589668051402,0.72165,0.727569
r2,0.36855946931770295,0.721942,0.727665
r2,0.3686599718302658,0.722233,0.727759
r2,0.3687604743428286,0.722526,0.727854
r2,0.36886097685539143,0.722819,0.727947
r2,0.3689614793679542,0.723113,0.728042
r2,0.36906198188051703,0.723409,0.728136
r2,0.36916248439307986,0.723706,0.72823
r2,0.3692629869056427,0.724004,0.728324
r2,0.36936348941820546,0.724301,0.728418
r2,0.3694639919307683,0.724599,0.728511
r2,0.3695644944433311,0.7249,0.728605
r2,0.36966499695589394,0.725201,0.728698
r2,0.3697654994684567,0.725501,0.728791
r2,0.36986600198101954,0.725803,0.728883
r2,0.36996650449358237,0.726105,0.728976
r2,0.3700670070061452,0.726408,0.729068
r2,0.37016750951870797,0.726711,0.72916
r2,0.3702680120312708,0.727017,0.729252
r2,0.3703685145438336,0.727322,0.729344
r2,0.37046901705639645,0.727628,0.729436
r2,0.3705695195689592,0.727934,0.729527
r2,0.37067002208152205,0.728241,0.729618
r2,0.3707705245940849,0.728549,0.729709
r2,0.3708710271066477,0.728858,0.7298
r2,0.3709715296192105,0.729166,0.72989
r2,0.3710720321317733,0.729476,0.729981
r2,0.37117253464433614,0.729787,0.730072
r2,0.37127303715689897,0.730096,0.730162
r2,0.37137353966946174,0.73025,0.73041
r2,0.37147404218202457,0.73034,0.73072
r2,0.3715745446945874,0.73043,0.731034
r2,0.3716750472071502,0.730519,0.731347
r2,0.37177554971971305,0.730609,0.73166
r2,0.3718760522322758,0.730698,0.731975
r2,0.37197655474483865,0.730787,0.732288
r2,0.3720770572574015,0.730876,0.732604
r2,0.3721775597699643,0.730965,0.73292
r2,0.3722780622825271,0.731053,0.733235
r2,0.3723785647950899,0.731142,0.733552
r2,0.37247906730765273,0.731231,0.733869
r2,0.37257956982021556,0.731319,0.734189
r2,0.37268007233277833,0.731405,0.734502
r2,0.37278057484534116,0.731493,0.734821
r2,0.372881077357904,0.731583,0.735142
r2,0.3729815798704668,0.731668,0.735454
r2,0.3730820823830296,0.731758,0.735778
r2,0.3731825848955924,0.731845,0.736098
r2,0.37328308740815525,0.731932,0.736418
r2,0.3733835899207181,0.732019,0.736739
r2,0.37348409243328085,0.732106,0.737059
r2,0.3735845949458437,0.732193,0.73738
r2,0.3736850974584065,0.73228,0.737701
r2,0.37378559997096933,0.732366,0.738022
r2,0.3738861024835321,0.732453,0.738344
r2,0.37398660499609493,0.732539,0.738666
r2,0.37408710750865776,0.732624,0.738985
r2,0.3741876100212206,0.73271,0.739306
r2,0.37428811253378336,0.732796,0.739628
r2,0.3743886150463462,0.732882,0.739952
r2,0.374489117558909,0.732968,0.740278
r2,0.37458962007147184,0.733053,0.740601
r2,0.3746901225840346,0.733139,0.740925
r2,0.37479062509659744,0.733224,0.74125
r2,0.37489112760916027,0.73331,0.741576
r2,0.3749916301217231,0.733395,0.7419
r2,0.37509213263428587,0.73348,0.742224
r2,0.3751926351468487,0.733564,0.742547
r2,0.3752931376594115,0.733649,0.742873
r2,0.37539364017197435,0.733734,0.743198
r2,0.3754941426845371,0.733819,0.743524
r2,0.37559464519709995,0.733903,0.74385
r2,0.3756951477096628,0.733988,0.744177
r2,0.3757956502222256,0.734072,0.744503
r2,0.3758961527347884,0.734153,0.744827
r2,0.3759966552473512,0.73424,0.745159
r2,0.37609715775991404,0.734324,0.745488
r2,0.37619766027247686,0.734408,0.745818
r2,0.37629816278503964,0.734492,0.746148
r2,0.37639866529760246,0.734576,0.746479
r2,0.3764991678101653,0.73466,0.74681
r2,0.3765996703227281,0.734744,0.747144
r2,0.3767001728352909,0.734827,0.747478
r2,0.3768006753478537,0.73491,0.747811
r2,0.37690117786041655,0.734994,0.748147
r2,0.3770016803729794,0.735078,0.748481
r2,0.37710218288554215,0.735161,0.748819
r2,0.377202685398105,0.735244,0.749156
r2,0.3773031879106678,0.735327,0.749493
r2,0.37740369042323063,0.735411,0.749837
r2,0.3775041929357934,0.735493,0.75017
r2,0.37760469544835623,0.735576,0.750511
r2,0.37770519796091906,0.735659,0.750852
r2,0.3778057004734819,0.735741,0.751192
r2,0.37790620298604466,0.735823,0.751533
r2,0.3780067054986075,0.735906,0.751877
r2,0.3781072080111703,0.735989,0.75222
r2,0.37820771052373314,0.736071,0.752564
r2,0.3783082130362959,0.736153,0.752909
r2,0.37840871554885874,0.736235,0.753255
r2,0.37850921806142157,0.736317,0.753597
r2,0.3786097205739844,0.7364,0.75395
r2,0.3787102230865472,0.736478,0.754293
r2,0.37881072559911,0.736563,0.754645
r2,0.3789112281116728,0.736645,0.754993
r2,0.37901173062423565,0.736727,0.755342
r2,0.3791122331367984,0.736808,0.755691
r2,0.37921273564936125,0.73689,0.756041
r2,0.3793132381619241,0.736971,0.756393
r2,0.3794137406744869,0.737052,0.756744
r2,0.37951424318704974,0.737134,0.757097
r2,0.3796147456996125,0.737215,0.75745
r2,0.37971524821217534,0.737296,0.757803
r2,0.37981575072473817,0.737377,0.758156
r2,0.379916253237301,0.737458,0.758509
r2,0.38001675574986377,0.737539,0.758865
r2,0.3801172582624266,0.73762,0.75922
r2,0.3802177607749894,0.7377,0.759576
r2,0.38031826328755225,0.737781,0.759933
r2,0.380418765800115,0.737862,0.76029
r2,0.38051926831267785,0.737942,0.760647
r2,0.3806197708252407,0.738022,0.761004
r2,0.3807202733378035,0.738102,0.761362
r2,0.3808207758503663,0.738183,0.761723
r2,0.3809212783629291,0.738262,0.762079
r2,0.38102178087549193,0.738342,0.762439
r2,0.38112228338805476,0.738422,0.762799
r2,0.38122278590061753,0.7385,0.763156
r2,0.38132328841318036,0.738582,0.76352
r2,0.3814237909257432,0.738661,0.763878
r2,0.381524293438306,0.73874,0.764238
r2,0.3816247959508688,0.73882,0.764604
r2,0.3817252984634316,0.7389,0.764966
r2,0.38182580097599444,0.738979,0.765329
r2,0.3819263034885573,0.739058,0.765692
r2,0.38202680600112005,0.739138,0.766055
r2,0.3821273085136829,0.739216,0.766419
r2,0.3822278110262457,0.739295,0.766782
r2,0.38232831353880853,0.739374,0.767145
r2,0.3824288160513713,0.739453,0.76751
r2,0.38252931856393413,0.739532,0.767875
r2,0.38262982107649696,0.73961,0.768239
r2,0.3827303235890598,0.739689,0.768605
r2,0.38283082610162256,0.739768,0.768971
r2,0.3829313286141854,0.739845,0.769328
r2,0.3830318311267482,0.739922,0.769693
r2,0.38313233363931104,0.740001,0.770059
r2,0.3832328361518738,0.74008,0.77043
r2,0.38333333866443664,0.740157,0.770792
r2,0.38343384117699947,0.740235,0.771159
r2,0.3835343436895623,0.740313,0.771525
r2,0.38363484620212507,0.740391,0.771892
r2,0.3837353487146879,0.740469,0.77226
r2,0.3838358512272507,0.740548,0.77263
r2,0.38393635373981355,0.740625,0.772995
r2,0.3840368562523763,0.740703,0.773364
r2,0.38413735876493915,0.74078,0.773731
r2,0.384237861277502,0.740857,0.774097
r2,0.3843383637900648,0.740935,0.774466
r2,0.3844388663026276,0.741011,0.774831
r2,0.3845393688151904,0.741089,0.775203
r2,0.38463987132775324,0.741166,0.775571
r2,0.38474037384031606,0.741244,0.775942
r2,0.3848408763528789,0.741321,0.776311
r2,0.38494137886544166,0.741399,0.776681
r2,0.3850418813780045,0.741477,0.777051
