param_name,param_value,band_2,band_3,band_4
r2,0.05362725450901804,0.487038,0.487054,0.510464
r2,0.05403541777432416,0.48703,0.487047,0.509526
r2,0.05444358103963029,0.487022,0.487039,0.508611
r2,0.05485174430493641,0.487014,0.487031,0.507697
r2,0.05525990757024253,0.487006,0.487023,0.506783
r2,0.05566807083554865,0.486998,0.487014,0.505868
r2,0.05607623410085478,0.486989,0.487006,0.504955
r2,0.0564843973661609,0.486981,0.486997,0.504041
r2,0.05689256063146702,0.486972,0.486988,0.503128
r2,0.05730072389677315,0.486963,0.486979,0.502215
r2,0.05770888716207927,0.486954,0.48697,0.501302
r2,0.05811705042738539,0.486945,0.486961,0.50039
r2,0.05852521369269151,0.486935,0.486951,0.499478
r2,0.058933376957997635,0.486926,0.486942,0.498567
r2,0.059341540223303756,0.486916,0.486932,0.497656
r2,0.059749703488609876,0.486907,0.486922,0.496745
r2,0.060157866753916,0.486897,0.486912,0.495837
r2,0.060566030019222124,0.486886,0.486901,0.494937
r2,0.060974193284528244,0.486875,0.48689,0.494041
r2,0.06138235654983437,0.486863,0.486879,0.493149
r2,0.06179051981514049,0.486852,0.486867,0.49226
r2,0.06219868308044661,0.486839,0.486855,0.491373
r2,0.06260684634575274,0.486827,0.486843,0.490489
r2,0.06301500961105885,0.486814,0.48683,0.489608
r2,0.06342317287636498,0.486801,0.486817,0.48873
r2,0.06383133614167111,0.486788,0.486804,0.487853
r2,0.06423949940697722,0.486774,0.486791,0.48698
r2,0.06464766267228335,0.486108,0.48676,0.486777
r2,0.06505582593758946,0.485238,0.486746,0.486763
r2,0.06546398920289559,0.484371,0.486732,0.486749
r2,0.06587215246820172,0.483507,0.486717,0.486735
r2,0.06628031573350784,0.482644,0.486702,0.48672
r2,0.06668847899881396,0.481784,0.486687,0.486705
r2,0.06709664226412008,0.480928,0.486672,0.48669
r2,0.0675048055294262,0.480077,0.486656,0.486674
r2,0.06791296879473233,0.479229,0.48664,0.486658
r2,0.06832113206003845,0.478384,0.486624,0.486642
r2,0.06872929532534457,0.477541,0.486608,0.486626
r2,0.0691374585906507,0.476702,0.486591,0.486609
r2,0.06954562185595682,0.475865,0.486574,0.486592
r2,0.06995378512126293,0.475032,0.486557,0.486575
r2,0.07036194838656906,0.4742,0.48654,0.486558
r2,0.07077011165187519,0.473373,0.486522,0.48654
r2,0.0711782749171813,0.472547,0.486505,0.486522
r2,0.07158643818248743,0.471724,0.486487,0.486504
r2,0.07199460144779354,0.470905,0.486468,0.486485
r2,0.07240276471309967,0.470087,0.48645,0.486467
r2,0.0728109279784058,0.469272,0.486431,0.486448
r2,0.07321909124371193,0.468461,0.486412,0.486428
r2,0.07362725450901804,0.467657,0.486392,0.486408
