k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
1, 0, 0, 0, 0, 0, 0.444555, 0.523521, 0.541272, 0.541368, 0.677091, 0.677126, 0.762395
2, 0.0238095, 0.0119048, 0, 0.0238095, 0.011355, 0.444359, 0.522832, 0.54125, 0.54151, 0.677318, 0.677869, 0.761832
3, 0.047619, 0.0238095, 0, 0.047619, 0.0227036, 0.443776, 0.520781, 0.541052, 0.542099, 0.677918, 0.680126, 0.760197
4, 0.0714286, 0.0357143, 0, 0.0714286, 0.03404, 0.442814, 0.517427, 0.540859, 0.54302, 0.678912, 0.683741, 0.757626
5, 0.0952381, 0.047619, 0, 0.0952381, 0.0453578, 0.441491, 0.512887, 0.54079, 0.544208, 0.680291, 0.688528, 0.754291
6, 0.119048, 0.0595238, 0, 0.119048, 0.0566502, 0.439827, 0.50733, 0.540912, 0.54562, 0.68204, 0.694284, 0.75036
7, 0.142857, 0.0714286, 0, 0.142857, 0.0679102, 0.437846, 0.500938, 0.541252, 0.547222, 0.684146, 0.700811, 0.745971
8, 0.166667, 0.0833333, 0, 0.166667, 0.07913, 0.435577, 0.493888, 0.54181, 0.548995, 0.686589, 0.707923, 0.741242
9, 0.190476, 0.0952381, 0, 0.190476, 0.0903012, 0.433049, 0.486329, 0.542581, 0.550921, 0.689349, 0.715431, 0.736291
10, 0.214286, 0.107143, 0, 0.214286, 0.101414, 0.430289, 0.478391, 0.543555, 0.552991, 0.692404, 0.722925, 0.731456
11, 0.238095, 0.119048, 0, 0.238095, 0.112459, 0.427328, 0.470178, 0.544721, 0.555193, 0.695731, 0.724534, 0.732538
12, 0.261905, 0.130952, 0, 0.261905, 0.123423, 0.424193, 0.461779, 0.546068, 0.557518, 0.699305, 0.719443, 0.74028
13, 0.285714, 0.142857, 0, 0.285714, 0.134292, 0.420912, 0.453267, 0.547588, 0.559959, 0.703093, 0.71386, 0.748391
14, 0.309524, 0.154762, 0, 0.309524, 0.14505, 0.41751, 0.444711, 0.549272, 0.562506, 0.706827, 0.708377, 0.756411
15, 0.333333, 0.166667, 0, 0.333333, 0.155676, 0.41401, 0.436171, 0.551111, 0.565149, 0.702182, 0.711353, 0.764108
16, 0.357143, 0.178571, 0, 0.357143, 0.166145, 0.410434, 0.427708, 0.553097, 0.567877, 0.696291, 0.715657, 0.771182
17, 0.380952, 0.190476, 0, 0.380952, 0.176429, 0.406795, 0.419387, 0.555223, 0.570676, 0.690342, 0.720092, 0.777181
18, 0.404762, 0.202381, 0, 0.404762, 0.186488, 0.403098, 0.411288, 0.557481, 0.573528, 0.684368, 0.724615, 0.781571
19, 0.428571, 0.214286, 0, 0.428571, 0.196274, 0.399275, 0.403569, 0.559863, 0.57641, 0.678394, 0.729185, 0.784113
20, 0.452381, 0.22619, 0, 0.452381, 0.205727, 0.39464, 0.397014, 0.562361, 0.579293, 0.672449, 0.733758, 0.785159
21, 0.47619, 0.238095, 0, 0.47619, 0.214766, 0.388217, 0.392714, 0.564969, 0.582135, 0.666572, 0.738275, 0.785305
22, 0.5, 0.25, 0, 0.5, 0.223289, 0.381799, 0.389015, 0.567675, 0.584878, 0.660816, 0.742663, 0.785017
