k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
1, 0, 0, 0, 0, 0, 0.408301, 0.408482, 0.408483, 0.522631, 0.522732, 0.719395, 0.743313
2, 0.0238095, 0.0119048, 0, 0.0238095, 0.00998327, 0.402622, 0.40837, 0.414041, 0.522603, 0.522886, 0.719238, 0.74178
3, 0.047619, 0.0238095, 0, 0.047619, 0.0199618, 0.396748, 0.408031, 0.419555, 0.522323, 0.523548, 0.718657, 0.738226
4, 0.0714286, 0.0357143, 0, 0.0714286, 0.029931, 0.390784, 0.407459, 0.42492, 0.521873, 0.524659, 0.717321, 0.734113
5, 0.0952381, 0.047619, 0, 0.0952381, 0.0398857, 0.384745, 0.406644, 0.430125, 0.521288, 0.526209, 0.714757, 0.730196
6, 0.119048, 0.0595238, 0, 0.119048, 0.0498212, 0.378645, 0.405575, 0.435161, 0.520614, 0.528193, 0.710737, 0.726653
7, 0.142857, 0.0714286, 0, 0.142857, 0.0597323, 0.372498, 0.404239, 0.440022, 0.519898, 0.530601, 0.705528, 0.723254
8, 0.166667, 0.0833333, 0, 0.166667, 0.0696136, 0.366317, 0.402621, 0.444708, 0.519196, 0.53342, 0.699562, 0.719822
9, 0.190476, 0.0952381, 0, 0.190476, 0.0794594, 0.360115, 0.400711, 0.449221, 0.51856, 0.536633, 0.693145, 0.716331
10, 0.214286, 0.107143, 0, 0.214286, 0.0892636, 0.353904, 0.398501, 0.45357, 0.518042, 0.540219, 0.68645, 0.712797
11, 0.238095, 0.119048, 0, 0.238095, 0.0990195, 0.347695, 0.395989, 0.457765, 0.517687, 0.544153, 0.679577, 0.709241
12, 0.261905, 0.130952, 0, 0.261905, 0.10872, 0.3415, 0.393178, 0.461821, 0.517532, 0.548405, 0.672585, 0.705679
13, 0.285714, 0.142857, 0, 0.285714, 0.118357, 0.335329, 0.390079, 0.465756, 0.517607, 0.552946, 0.665512, 0.702121
14, 0.309524, 0.154762, 0, 0.309524, 0.127921, 0.329194, 0.38671, 0.469588, 0.517931, 0.55774, 0.658387, 0.698578
15, 0.333333, 0.166667, 0, 0.333333, 0.137402, 0.323106, 0.383096, 0.473334, 0.518513, 0.562755, 0.651232, 0.695056
16, 0.357143, 0.178571, 0, 0.357143, 0.146787, 0.317076, 0.379271, 0.477011, 0.519356, 0.567955, 0.644066, 0.691565
17, 0.380952, 0.190476, 0, 0.380952, 0.156063, 0.311114, 0.375271, 0.480636, 0.520453, 0.5733, 0.636911, 0.688113
18, 0.404762, 0.202381, 0, 0.404762, 0.165212, 0.305235, 0.37114, 0.484219, 0.521789, 0.578748, 0.629792, 0.684709
19, 0.428571, 0.214286, 0, 0.428571, 0.174212, 0.299449, 0.366928, 0.487772, 0.523342, 0.584243, 0.622747, 0.681368
20, 0.452381, 0.22619, 0, 0.452381, 0.183036, 0.293772, 0.362687, 0.491301, 0.525085, 0.589696, 0.615853, 0.678108
21, 0.47619, 0.238095, 0, 0.47619, 0.19165, 0.288219, 0.358478, 0.494808, 0.526979, 0.594838, 0.60936, 0.674953
22, 0.5, 0.25, 0, 0.5, 0.200011, 0.282811, 0.354368, 0.498291, 0.528972, 0.597769, 0.605161, 0.67194
