k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
1, 0.5, 0, 0, 0.57735, 0.227883, 0.345361, 0.437337, 0.523477, 0.618713, 0.65948, 0.743502, 0.769355
2, 0.47619, 0, 0, 0.549857, 0.226441, 0.346677, 0.437511, 0.523561, 0.617668, 0.66059, 0.742502, 0.770292
3, 0.452381, 0, 0, 0.522365, 0.222298, 0.350433, 0.438037, 0.523813, 0.614824, 0.663629, 0.739859, 0.772751
4, 0.428571, 0, 0, 0.494872, 0.215908, 0.356157, 0.43893, 0.524229, 0.610765, 0.668012, 0.736204, 0.7761
5, 0.404762, 0, 0, 0.467379, 0.207793, 0.363292, 0.440212, 0.524802, 0.605995, 0.673239, 0.731999, 0.779879
6, 0.380952, 0, 0, 0.439886, 0.198407, 0.371328, 0.441925, 0.525527, 0.600841, 0.678984, 0.727511, 0.783826
7, 0.357143, 0, 0, 0.412393, 0.188097, 0.37984, 0.444127, 0.526391, 0.595502, 0.685048, 0.722891, 0.787793
8, 0.333333, 0, 0, 0.3849, 0.177111, 0.38847, 0.4469, 0.527382, 0.590103, 0.69131, 0.718238, 0.791688
9, 0.309524, 0, 0, 0.357407, 0.165624, 0.3969, 0.450351, 0.528483, 0.58473, 0.697686, 0.713619, 0.795453
10, 0.285714, 0, 0, 0.329914, 0.153761, 0.404843, 0.454602, 0.529678, 0.579443, 0.704114, 0.709088, 0.76447
11, 0.261905, 0, 0, 0.302422, 0.14161, 0.412059, 0.459747, 0.530944, 0.574296, 0.704692, 0.71054, 0.754912
12, 0.238095, 0, 0, 0.274929, 0.129235, 0.418394, 0.465806, 0.532257, 0.569333, 0.700476, 0.716896, 0.745267
13, 0.214286, 0, 0, 0.247436, 0.116685, 0.423818, 0.472676, 0.533591, 0.564603, 0.696481, 0.722997, 0.735808
14, 0.190476, 0, 0, 0.219943, 0.103997, 0.4284, 0.480135, 0.534915, 0.56015, 0.692749, 0.724683, 0.730777
15, 0.166667, 0, 0, 0.19245, 0.0911977, 0.432261, 0.487896, 0.536197, 0.556028, 0.689323, 0.716217, 0.735995
16, 0.142857, 0, 0, 0.164957, 0.0783108, 0.435515, 0.495643, 0.537405, 0.552293, 0.686242, 0.707492, 0.741657
17, 0.119048, 0, 0, 0.137464, 0.0653543, 0.43824, 0.503053, 0.538503, 0.549008, 0.683549, 0.699331, 0.747033
18, 0.0952381, 0, 0, 0.109971, 0.0523437, 0.440478, 0.509793, 0.539459, 0.546241, 0.681283, 0.692021, 0.751937
19, 0.0714286, 0, 0, 0.0824786, 0.0392919, 0.44224, 0.515516, 0.540239, 0.54406, 0.679478, 0.68585, 0.756171
20, 0.047619, 0, 0, 0.0549857, 0.0262106, 0.443518, 0.51988, 0.540818, 0.54252, 0.678165, 0.681124, 0.759497
21, 0.0238095, 0, 0, 0.0274929, 0.0131101, 0.444294, 0.522601, 0.541172, 0.541632, 0.677367, 0.67814, 0.761648
22, 0, 0, 0, 0, 0, 0.444555, 0.523521, 0.541272, 0.541368, 0.677091, 0.677126, 0.762395
23, 0.015873, 0.015873, 0, 0.0183286, 0.00874167, 0.444439, 0.523113, 0.541314, 0.541396, 0.677245, 0.677548, 0.76206
24, 0.031746, 0.031746, 0, 0.0366572, 0.0174806, 0.444092, 0.521895, 0.541154, 0.541776, 0.677602, 0.6789, 0.761075
25, 0.047619, 0.047619, 0, 0.0549857, 0.0262138, 0.443518, 0.51989, 0.54089, 0.542434, 0.678192, 0.681101, 0.759492
26, 0.0634921, 0.0634921, 0, 0.0733143, 0.0349385, 0.44272, 0.517152, 0.540527, 0.543382, 0.679012, 0.684077, 0.757385
27, 0.0793651, 0.0793651, 0, 0.0916429, 0.0436516, 0.441705, 0.51376, 0.54007, 0.544621, 0.680055, 0.687743, 0.754835
28, 0.0952381, 0.0952381, 0, 0.109971, 0.05235, 0.440477, 0.509811, 0.539528, 0.546141, 0.681312, 0.692006, 0.75192
29, 0.111111, 0.111111, 0, 0.1283, 0.0610302, 0.439039, 0.505409, 0.538907, 0.547922, 0.682775, 0.696774, 0.748709
30, 0.126984, 0.126984, 0, 0.146629, 0.0696884, 0.437387, 0.500657, 0.538218, 0.549944, 0.684432, 0.701962, 0.745261
31, 0.142857, 0.142857, 0, 0.164957, 0.0783204, 0.435515, 0.495657, 0.537471, 0.552188, 0.686274, 0.707486, 0.74163
32, 0.15873, 0.15873, 0, 0.183286, 0.0869216, 0.43341, 0.490506, 0.536675, 0.554631, 0.688288, 0.713264, 0.737869
33, 0.174603, 0.174603, 0, 0.201614, 0.0954868, 0.43105, 0.485301, 0.53584, 0.557256, 0.690462, 0.719175, 0.734072
34, 0.190476, 0.190476, 0, 0.219943, 0.10401, 0.428405, 0.480137, 0.534977, 0.560044, 0.692784, 0.724669, 0.73076
35, 0.206349, 0.206349, 0, 0.238272, 0.112484, 0.42544, 0.475106, 0.534096, 0.56298, 0.695241, 0.724738, 0.732917
36, 0.222222, 0.222222, 0, 0.2566, 0.120901, 0.422118, 0.470298, 0.533206, 0.566046, 0.697822, 0.720974, 0.738924
37, 0.238095, 0.238095, 0, 0.274929, 0.129252, 0.418407, 0.465792, 0.532316, 0.569229, 0.700513, 0.716846, 0.745291
38, 0.253968, 0.253968, 0, 0.293257, 0.137525, 0.414287, 0.461648, 0.531436, 0.572515, 0.703302, 0.712618, 0.751726
39, 0.269841, 0.269841, 0, 0.311586, 0.145708, 0.409763, 0.457904, 0.530572, 0.57589, 0.706177, 0.708347, 0.758149
40, 0.285714, 0.285714, 0, 0.329914, 0.153782, 0.404861, 0.454573, 0.529734, 0.579341, 0.704058, 0.709126, 0.764508
41, 0.301587, 0.301587, 0, 0.348243, 0.161729, 0.399634, 0.451641, 0.528927, 0.582854, 0.699767, 0.712134, 0.770757
42, 0.31746, 0.31746, 0, 0.366572, 0.169525, 0.394149, 0.449083, 0.528159, 0.586413, 0.695491, 0.715189, 0.776848
43, 0.333333, 0.333333, 0, 0.3849, 0.177137, 0.388488, 0.446862, 0.527435, 0.590004, 0.691247, 0.718276, 0.782729
44, 0.34127, 0.31746, 0, 0.381063, 0.175592, 0.390021, 0.4465, 0.528381, 0.588852, 0.692066, 0.717719, 0.781227
45, 0.349206, 0.301587, 0, 0.378741, 0.174723, 0.391753, 0.444486, 0.53076, 0.587205, 0.692414, 0.717584, 0.779861
46, 0.357143, 0.285714, 0, 0.377964, 0.174535, 0.393672, 0.441078, 0.534301, 0.585096, 0.692314, 0.717837, 0.778847
47, 0.365079, 0.269841, 0, 0.378741, 0.175025, 0.395758, 0.436593, 0.53867, 0.582586, 0.691796, 0.718431, 0.778272
48, 0.373016, 0.253968, 0, 0.381063, 0.176172, 0.397982, 0.431333, 0.543532, 0.579779, 0.690899, 0.719309, 0.778164
49, 0.380952, 0.238095, 0, 0.3849, 0.177947, 0.400284, 0.425575, 0.548536, 0.576858, 0.689663, 0.720413, 0.778509
50, 0.388889, 0.222222, 0, 0.390209, 0.180307, 0.402503, 0.419642, 0.553183, 0.574217, 0.688131, 0.721693, 0.779263
51, 0.396825, 0.206349, 0, 0.396931, 0.183202, 0.403978, 0.414311, 0.556457, 0.572812, 0.686342, 0.723109, 0.780345
52, 0.404762, 0.190476, 0, 0.404995, 0.18657, 0.40217, 0.412211, 0.556881, 0.574096, 0.684335, 0.724628, 0.781625
53, 0.412698, 0.174603, 0, 0.414323, 0.190341, 0.396745, 0.41374, 0.554682, 0.577834, 0.682146, 0.72623, 0.782915
54, 0.420635, 0.15873, 0, 0.424832, 0.194437, 0.390338, 0.416317, 0.551273, 0.582624, 0.679808, 0.727905, 0.783945
55, 0.428571, 0.142857, 0, 0.436436, 0.198772, 0.383764, 0.419172, 0.547421, 0.587716, 0.677355, 0.729646, 0.784389
