k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
1, 0.5, 0, 0, 0.57735, 0.214331, 0.253859, 0.387545, 0.454769, 0.571004, 0.594788, 0.6085, 0.630324
2, 0.47619, 0, 0, 0.549857, 0.21184, 0.256192, 0.387641, 0.45487, 0.569677, 0.593743, 0.609932, 0.63144
3, 0.452381, 0, 0, 0.522365, 0.205584, 0.261973, 0.387926, 0.455168, 0.566187, 0.590935, 0.613742, 0.634464
4, 0.428571, 0, 0, 0.494872, 0.197339, 0.269427, 0.388398, 0.455639, 0.561428, 0.58699, 0.619049, 0.638772
5, 0.404762, 0, 0, 0.467379, 0.188079, 0.277585, 0.38905, 0.456245, 0.556063, 0.582413, 0.625213, 0.643863
6, 0.380952, 0, 0, 0.439886, 0.178238, 0.286016, 0.389875, 0.45693, 0.55049, 0.577516, 0.631873, 0.649433
7, 0.357143, 0, 0, 0.412393, 0.168025, 0.294518, 0.390861, 0.457615, 0.544957, 0.57248, 0.638829, 0.655309
8, 0.333333, 0, 0, 0.3849, 0.157549, 0.302989, 0.391996, 0.458196, 0.539648, 0.567418, 0.645966, 0.661388
9, 0.309524, 0, 0, 0.357407, 0.146873, 0.311375, 0.393262, 0.458544, 0.534723, 0.562406, 0.653208, 0.667609
10, 0.285714, 0, 0, 0.329914, 0.136038, 0.319646, 0.39464, 0.458505, 0.530334, 0.5575, 0.660501, 0.67393
11, 0.261905, 0, 0, 0.302422, 0.125073, 0.327785, 0.396107, 0.457917, 0.526626, 0.552747, 0.6678, 0.680322
12, 0.238095, 0, 0, 0.274929, 0.113998, 0.335784, 0.397638, 0.45663, 0.523713, 0.54819, 0.675059, 0.686763
13, 0.214286, 0, 0, 0.247436, 0.102832, 0.343641, 0.399202, 0.454541, 0.521652, 0.54387, 0.682229, 0.693233
14, 0.190476, 0, 0, 0.219943, 0.0915861, 0.351358, 0.400765, 0.45162, 0.520417, 0.539829, 0.689248, 0.699716
15, 0.166667, 0, 0, 0.19245, 0.0802738, 0.358938, 0.40229, 0.447912, 0.519903, 0.536109, 0.696026, 0.70619
16, 0.142857, 0, 0, 0.164957, 0.0689053, 0.366384, 0.403737, 0.443513, 0.519946, 0.532755, 0.702424, 0.712631
17, 0.119048, 0, 0, 0.137464, 0.0574899, 0.373702, 0.405062, 0.43854, 0.520361, 0.529812, 0.708214, 0.719004
18, 0.0952381, 0, 0, 0.109971, 0.0460365, 0.380895, 0.406224, 0.433106, 0.520968, 0.527325, 0.713031, 0.72525
19, 0.0714286, 0, 0, 0.0824786, 0.0345531, 0.387964, 0.40718, 0.427307, 0.521609, 0.525338, 0.716449, 0.731261
20, 0.047619, 0, 0, 0.0549857, 0.0230475, 0.394908, 0.407893, 0.42122, 0.522159, 0.523888, 0.718362, 0.736813
21, 0.0238095, 0, 0, 0.0274929, 0.0115274, 0.401721, 0.408333, 0.414902, 0.522524, 0.523007, 0.719183, 0.741343
22, 0, 0, 0, 0, 0, 0.408301, 0.408482, 0.408483, 0.522631, 0.522732, 0.719395, 0.743352
23, 0.015873, 0.015873, 0, 0.0183286, 0.00768537, 0.403959, 0.408417, 0.412753, 0.522674, 0.522763, 0.719304, 0.742348
24, 0.031746, 0.031746, 0, 0.0366572, 0.0153686, 0.399462, 0.408219, 0.417033, 0.522504, 0.523158, 0.718993, 0.739932
25, 0.047619, 0.047619, 0, 0.0549857, 0.0230475, 0.394905, 0.407893, 0.421224, 0.522234, 0.523811, 0.718355, 0.736718
26, 0.0634921, 0.0634921, 0, 0.0733143, 0.0307199, 0.390288, 0.407446, 0.425313, 0.52188, 0.524717, 0.717232, 0.733075
27, 0.0793651, 0.0793651, 0, 0.0916429, 0.0383837, 0.385616, 0.406886, 0.429284, 0.52147, 0.525867, 0.71547, 0.729182
28, 0.0952381, 0.0952381, 0, 0.109971, 0.0460364, 0.380889, 0.406224, 0.433117, 0.521035, 0.52725, 0.713016, 0.725134
29, 0.111111, 0.111111, 0, 0.1283, 0.0536759, 0.376107, 0.405469, 0.436789, 0.520614, 0.528855, 0.709934, 0.720986
30, 0.126984, 0.126984, 0, 0.146629, 0.0612997, 0.37127, 0.404636, 0.440272, 0.520253, 0.530669, 0.706355, 0.716772
31, 0.142857, 0.142857, 0, 0.164957, 0.0689053, 0.366377, 0.403736, 0.443535, 0.520002, 0.532679, 0.702408, 0.712512
32, 0.15873, 0.15873, 0, 0.183286, 0.0764901, 0.361426, 0.402782, 0.446543, 0.519916, 0.534872, 0.698193, 0.708223
33, 0.174603, 0.174603, 0, 0.201614, 0.0840513, 0.356418, 0.401787, 0.449261, 0.52005, 0.537235, 0.693783, 0.703916
34, 0.190476, 0.190476, 0, 0.219943, 0.0915861, 0.35135, 0.400763, 0.451656, 0.520458, 0.539753, 0.68923, 0.699598
35, 0.206349, 0.206349, 0, 0.238272, 0.0990912, 0.346221, 0.399722, 0.4537, 0.521188, 0.542414, 0.684571, 0.695277
36, 0.222222, 0.222222, 0, 0.2566, 0.106563, 0.341029, 0.398676, 0.455376, 0.522274, 0.545204, 0.679833, 0.690958
37, 0.238095, 0.238095, 0, 0.274929, 0.113999, 0.335775, 0.397635, 0.456681, 0.523738, 0.548113, 0.675038, 0.686648
38, 0.253968, 0.253968, 0, 0.293257, 0.121393, 0.330458, 0.396609, 0.457627, 0.525583, 0.551126, 0.670204, 0.682351
39, 0.269841, 0.269841, 0, 0.311586, 0.128741, 0.325078, 0.395607, 0.458243, 0.527795, 0.554233, 0.665346, 0.678072
40, 0.285714, 0.285714, 0, 0.329914, 0.136038, 0.319637, 0.394637, 0.458568, 0.530348, 0.557421, 0.660477, 0.673819
41, 0.301587, 0.301587, 0, 0.348243, 0.143278, 0.314137, 0.393706, 0.458647, 0.533204, 0.560677, 0.65561, 0.669597
42, 0.31746, 0.31746, 0, 0.366572, 0.150451, 0.308582, 0.392823, 0.45853, 0.536322, 0.563987, 0.650758, 0.665414
43, 0.333333, 0.333333, 0, 0.3849, 0.15755, 0.30298, 0.391992, 0.458265, 0.539657, 0.567337, 0.645936, 0.661281
44, 0.34127, 0.31746, 0, 0.381063, 0.156071, 0.304368, 0.391509, 0.459089, 0.538323, 0.566955, 0.646275, 0.663126
45, 0.349206, 0.301587, 0, 0.378741, 0.155178, 0.30569, 0.389797, 0.461265, 0.536152, 0.56739, 0.645276, 0.666217
46, 0.357143, 0.285714, 0, 0.377964, 0.154883, 0.306888, 0.387173, 0.46449, 0.533401, 0.568423, 0.643557, 0.669922
47, 0.365079, 0.269841, 0, 0.378741, 0.15519, 0.307873, 0.384011, 0.468398, 0.530351, 0.569843, 0.641486, 0.673839
48, 0.373016, 0.253968, 0, 0.381063, 0.156094, 0.308532, 0.380669, 0.472617, 0.527281, 0.57149, 0.639241, 0.677725
49, 0.380952, 0.238095, 0, 0.3849, 0.157583, 0.308725, 0.377473, 0.476756, 0.524499, 0.573259, 0.636908, 0.681337
50, 0.388889, 0.222222, 0, 0.390209, 0.159634, 0.3083, 0.374706, 0.480361, 0.522393, 0.575083, 0.634538, 0.684251
51, 0.396825, 0.206349, 0, 0.396931, 0.162218, 0.307114, 0.372597, 0.482901, 0.521449, 0.57692, 0.63216, 0.68558
52, 0.404762, 0.190476, 0, 0.404995, 0.1653, 0.305075, 0.371296, 0.483908, 0.522104, 0.578743, 0.629795, 0.684199
53, 0.412698, 0.174603, 0, 0.414323, 0.168839, 0.302169, 0.370855, 0.483266, 0.524457, 0.580538, 0.627459, 0.680332
54, 0.420635, 0.15873, 0, 0.424832, 0.172788, 0.29846, 0.371228, 0.48128, 0.528194, 0.582293, 0.625163, 0.67517
55, 0.428571, 0.142857, 0, 0.436436, 0.177098, 0.294075, 0.3723, 0.478405, 0.532856, 0.584002, 0.622919, 0.669474
56, 0.436508, 0.126984, 0, 0.44905, 0.18171, 0.289163, 0.373919, 0.47503, 0.538057, 0.585662, 0.620736, 0.66359
57, 0.444444, 0.111111, 0, 0.462592, 0.186562, 0.283882, 0.375926, 0.471437, 0.543521, 0.587265, 0.618624, 0.657702
58, 0.452381, 0.0952381, 0, 0.476983, 0.191575, 0.278386, 0.378159, 0.467831, 0.549039, 0.588804, 0.616596, 0.651943
59, 0.460317, 0.0793651, 0, 0.492149, 0.196649, 0.272832, 0.380462, 0.464381, 0.554434, 0.590265, 0.614666, 0.646445
60, 0.468254, 0.0634921, 0, 0.508019, 0.201643, 0.267403, 0.382676, 0.461243, 0.559512, 0.591622, 0.612859, 0.641372
61, 0.47619, 0.047619, 0, 0.524531, 0.20634, 0.262343, 0.38464, 0.45857, 0.564039, 0.592837, 0.611219, 0.636936
62, 0.484127, 0.031746, 0, 0.541624, 0.210393, 0.25802, 0.386196, 0.456515, 0.567707, 0.593843, 0.609833, 0.633416
