k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
1, 0.5, 0, 0, 0.57735, 0.250033, 0.318561, 0.422479, 0.525433, 0.610094, 0.716257, 0.725243, 0.800247
2, 0.47619, 0, 0, 0.549857, 0.247746, 0.320626, 0.422743, 0.525476, 0.609516, 0.716854, 0.725008, 0.799679
3, 0.452381, 0, 0, 0.522365, 0.241571, 0.326126, 0.423538, 0.525606, 0.607827, 0.718603, 0.724317, 0.797995
4, 0.428571, 0, 0, 0.494872, 0.232807, 0.333736, 0.424883, 0.52582, 0.605142, 0.72138, 0.723203, 0.795255
5, 0.404762, 0, 0, 0.467379, 0.222474, 0.342397, 0.426806, 0.526115, 0.601622, 0.721715, 0.725015, 0.791555
6, 0.380952, 0, 0, 0.439886, 0.211178, 0.351442, 0.429347, 0.526484, 0.597438, 0.719915, 0.729311, 0.787021
7, 0.357143, 0, 0, 0.412393, 0.199262, 0.360455, 0.432552, 0.526922, 0.592754, 0.717868, 0.734059, 0.781813
8, 0.333333, 0, 0, 0.3849, 0.186924, 0.369155, 0.436471, 0.52742, 0.587716, 0.71564, 0.739012, 0.776154
9, 0.309524, 0, 0, 0.357407, 0.174284, 0.377347, 0.441135, 0.527969, 0.582447, 0.713295, 0.743763, 0.770447
10, 0.285714, 0, 0, 0.329914, 0.161421, 0.384899, 0.446545, 0.528557, 0.577054, 0.710892, 0.747267, 0.765747
11, 0.261905, 0, 0, 0.302422, 0.148385, 0.39175, 0.452644, 0.529174, 0.571631, 0.708485, 0.746994, 0.764606
12, 0.238095, 0, 0, 0.274929, 0.135214, 0.397897, 0.459316, 0.529805, 0.566262, 0.706123, 0.742366, 0.767631
13, 0.214286, 0, 0, 0.247436, 0.121936, 0.403383, 0.466387, 0.530437, 0.561026, 0.70385, 0.735926, 0.772315
14, 0.190476, 0, 0, 0.219943, 0.10857, 0.408271, 0.473647, 0.531056, 0.556005, 0.701707, 0.728987, 0.777388
15, 0.166667, 0, 0, 0.19245, 0.0951326, 0.412619, 0.480868, 0.531647, 0.551279, 0.699729, 0.722035, 0.782411
16, 0.142857, 0, 0, 0.164957, 0.0816382, 0.416464, 0.487812, 0.532196, 0.546938, 0.697947, 0.715347, 0.78717
17, 0.119048, 0, 0, 0.137464, 0.0680973, 0.419816, 0.494235, 0.532688, 0.543078, 0.69639, 0.709144, 0.791511
