k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
1, 0.5, 0, 0, 0.57735, 0.214791, 0.265058, 0.383796, 0.460604, 0.584174, 0.592189, 0.605985, 0.633513
2, 0.47619, 0, 0, 0.549857, 0.212623, 0.267094, 0.383906, 0.460736, 0.582344, 0.59071, 0.607875, 0.635002
3, 0.452381, 0, 0, 0.522365, 0.206924, 0.272398, 0.384234, 0.461129, 0.57803, 0.58678, 0.612368, 0.638964
4, 0.428571, 0, 0, 0.494872, 0.199076, 0.279588, 0.384777, 0.461777, 0.572687, 0.581319, 0.618013, 0.64448
5, 0.404762, 0, 0, 0.467379, 0.190018, 0.287727, 0.38553, 0.462666, 0.566958, 0.575005, 0.624166, 0.650873
6, 0.380952, 0, 0, 0.439886, 0.180244, 0.296319, 0.386486, 0.463777, 0.561102, 0.568226, 0.630575, 0.657759
7, 0.357143, 0, 0, 0.412393, 0.170014, 0.305108, 0.387635, 0.465087, 0.555237, 0.561195, 0.637124, 0.664928
8, 0.333333, 0, 0, 0.3849, 0.159469, 0.313951, 0.388965, 0.466564, 0.549429, 0.554038, 0.643753, 0.672262
9, 0.309524, 0, 0, 0.357407, 0.148693, 0.322768, 0.390461, 0.468165, 0.543723, 0.546841, 0.650423, 0.679685
10, 0.285714, 0, 0, 0.329914, 0.137738, 0.331504, 0.392105, 0.46984, 0.538155, 0.539671, 0.657106, 0.687147
11, 0.261905, 0, 0, 0.302422, 0.126642, 0.340124, 0.393874, 0.47152, 0.532575, 0.532778, 0.663775, 0.694605
12, 0.238095, 0, 0, 0.274929, 0.115429, 0.348598, 0.395741, 0.473114, 0.525685, 0.527574, 0.670407, 0.702024
13, 0.214286, 0, 0, 0.247436, 0.104121, 0.3569, 0.397675, 0.474494, 0.519066, 0.522626, 0.676971, 0.709364
14, 0.190476, 0, 0, 0.219943, 0.0927314, 0.365001, 0.399639, 0.475471, 0.512904, 0.517961, 0.683433, 0.716576
15, 0.166667, 0, 0, 0.19245, 0.0812749, 0.372868, 0.401587, 0.475768, 0.507463, 0.513627, 0.689746, 0.723598
16, 0.142857, 0, 0, 0.164957, 0.069762, 0.380447, 0.403469, 0.475036, 0.5031, 0.509676, 0.695847, 0.730335
17, 0.119048, 0, 0, 0.137464, 0.0582026, 0.38766, 0.405227, 0.473016, 0.500105, 0.506166, 0.701646, 0.736651
18, 0.0952381, 0, 0, 0.109971, 0.0466057, 0.39438, 0.406797, 0.46984, 0.49843, 0.503163, 0.707011, 0.742333
19, 0.0714286, 0, 0, 0.0824786, 0.0349794, 0.400391, 0.408111, 0.466071, 0.497688, 0.500734, 0.711745, 0.746946
20, 0.047619, 0, 0, 0.0549857, 0.0233315, 0.405343, 0.409107, 0.462458, 0.497445, 0.498942, 0.715566, 0.747591
21, 0.0238095, 0, 0, 0.0274929, 0.0116693, 0.408717, 0.409729, 0.459794, 0.497399, 0.497846, 0.718107, 0.746829
22, 0, 0, 0, 0, 0, 0.409929, 0.409944, 0.4588, 0.497377, 0.4975, 0.719007, 0.746555
23, 0.015873, 0.015873, 0, 0.0183286, 0.00777996, 0.409396, 0.409835, 0.459251, 0.497497, 0.497543, 0.718601, 0.746677
24, 0.031746, 0.031746, 0, 0.0366572, 0.0155578, 0.407814, 0.409554, 0.460533, 0.497497, 0.498036, 0.717417, 0.747037
25, 0.047619, 0.047619, 0, 0.0549857, 0.0233315, 0.40535, 0.409095, 0.462469, 0.49753, 0.498849, 0.715546, 0.747588
26, 0.0634921, 0.0634921, 0, 0.0733143, 0.0310988, 0.402186, 0.408469, 0.46483, 0.497647, 0.499971, 0.713105, 0.747821
27, 0.0793651, 0.0793651, 0, 0.0916429, 0.0388576, 0.398487, 0.407693, 0.467379, 0.497929, 0.501385, 0.71021, 0.745619
28, 0.0952381, 0.0952381, 0, 0.109971, 0.0466057, 0.394381, 0.406784, 0.469884, 0.498486, 0.503073, 0.706958, 0.742352
29, 0.111111, 0.111111, 0, 0.1283, 0.0543407, 0.389963, 0.405761, 0.472125, 0.499456, 0.505016, 0.703429, 0.738637
30, 0.126984, 0.126984, 0, 0.146629, 0.0620603, 0.385301, 0.404645, 0.473911, 0.500971, 0.507194, 0.699685, 0.734603
31, 0.142857, 0.142857, 0, 0.164957, 0.069762, 0.380444, 0.403454, 0.475128, 0.503111, 0.509587, 0.695772, 0.730327
32, 0.15873, 0.15873, 0, 0.183286, 0.077443, 0.375425, 0.402209, 0.475761, 0.50587, 0.512176, 0.691727, 0.725866
33, 0.174603, 0.174603, 0, 0.201614, 0.0851005, 0.370269, 0.400926, 0.475879, 0.509167, 0.514944, 0.687577, 0.721264
34, 0.190476, 0.190476, 0, 0.219943, 0.0927315, 0.364995, 0.399622, 0.47559, 0.51289, 0.517873, 0.683345, 0.716553
