k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2, zeven band 3, zeven band 4, zeven band 5, zeven band 6, zeven band 7, zeven band 8
1, 0.5, 0, 0, 0.57735, 0.32229, 0.396183, 0.488915, 0.544482, 0.585945, 0.59289, 0.593778, 0.612156
2, 0.47619, 0, 0, 0.549857, 0.320302, 0.397811, 0.489178, 0.53908, 0.567043, 0.583263, 0.61879, 0.619682
3, 0.452381, 0, 0, 0.522365, 0.314794, 0.402224, 0.489961, 0.52512, 0.540891, 0.579535, 0.631945, 0.64557
4, 0.428571, 0, 0, 0.494872, 0.306711, 0.408429, 0.491185, 0.506542, 0.515018, 0.576165, 0.633216, 0.634081
5, 0.404762, 0, 0, 0.467379, 0.296882, 0.415503, 0.485779, 0.487617, 0.494771, 0.57201, 0.615643, 0.62193
6, 0.380952, 0, 0, 0.439886, 0.285843, 0.422648, 0.463342, 0.463965, 0.496306, 0.565941, 0.597988, 0.611965
7, 0.357143, 0, 0, 0.412393, 0.273909, 0.427284, 0.440831, 0.441638, 0.4994, 0.557331, 0.580697, 0.604853
8, 0.333333, 0, 0, 0.3849, 0.261246, 0.410616, 0.41911, 0.43957, 0.503117, 0.546495, 0.564061, 0.600323
9, 0.309524, 0, 0, 0.357407, 0.247934, 0.386655, 0.396592, 0.445517, 0.507177, 0.53432, 0.548466, 0.597566
10, 0.285714, 0, 0, 0.329914, 0.233985, 0.362764, 0.374249, 0.45134, 0.510564, 0.521608, 0.535004, 0.59587
11, 0.261905, 0, 0, 0.302422, 0.219367, 0.339487, 0.352228, 0.456603, 0.508748, 0.50896, 0.528189, 0.594791
12, 0.238095, 0, 0, 0.274929, 0.204001, 0.3171, 0.330682, 0.461164, 0.496533, 0.499349, 0.530647, 0.594077
13, 0.214286, 0, 0, 0.247436, 0.187783, 0.295872, 0.309774, 0.464724, 0.48477, 0.48854, 0.536255, 0.593582
14, 0.190476, 0, 0, 0.219943, 0.170592, 0.276092, 0.289696, 0.465862, 0.473787, 0.480115, 0.542651, 0.593222
15, 0.166667, 0, 0, 0.19245, 0.152332, 0.258043, 0.270674, 0.461288, 0.463738, 0.477926, 0.5492, 0.592944
