k index, k1, k2, k3, kmag/2pi, zodd band 1, zodd band 2, zodd band 3, zodd band 4, zodd band 5, zodd band 6, zodd band 7, zodd band 8
1, 0, 0, 0, 0, 0, 0.238891, 0.238892, 0.401454, 0.401464, 0.510562, 0.51064, 0.510659
2, 0.0047619, 0.00238095, 0, 0.0047619, 0.00450877, 0.238923, 0.238934, 0.401469, 0.401479, 0.509727, 0.510629, 0.511485
3, 0.00952381, 0.0047619, 0, 0.00952381, 0.00901717, 0.23902, 0.23906, 0.401515, 0.401524, 0.508836, 0.510597, 0.512345
4, 0.0142857, 0.00714286, 0, 0.0142857, 0.0135251, 0.239181, 0.239269, 0.40159, 0.401601, 0.507937, 0.510543, 0.513194
5, 0.0190476, 0.00952381, 0, 0.0190476, 0.0180322, 0.239406, 0.239562, 0.401692, 0.401711, 0.507031, 0.510468, 0.51403
6, 0.0238095, 0.0119048, 0, 0.0238095, 0.0225383, 0.239695, 0.239939, 0.401822, 0.401853, 0.50612, 0.510371, 0.514849
7, 0.0285714, 0.0142857, 0, 0.0285714, 0.027043, 0.240048, 0.240397, 0.401981, 0.402028, 0.505203, 0.510253, 0.515652
8, 0.0333333, 0.0166667, 0, 0.0333333, 0.0315462, 0.240464, 0.240938, 0.402168, 0.402234, 0.504281, 0.510114, 0.516437
9, 0.0380952, 0.0190476, 0, 0.0380952, 0.0360474, 0.240943, 0.24156, 0.402384, 0.402473, 0.503356, 0.509955, 0.517201
10, 0.0428571, 0.0214286, 0, 0.0428571, 0.0405465, 0.241484, 0.242263, 0.402629, 0.402743, 0.502428, 0.509774, 0.517943
11, 0.047619, 0.0238095, 0, 0.047619, 0.0450432, 0.242087, 0.243046, 0.402902, 0.403045, 0.501497, 0.509574, 0.518661
12, 0.052381, 0.0261905, 0, 0.052381, 0.0495371, 0.242751, 0.243907, 0.403203, 0.40338, 0.500564, 0.509354, 0.519355
13, 0.0571429, 0.0285714, 0, 0.0571429, 0.054028, 0.243476, 0.244847, 0.403533, 0.403746, 0.499629, 0.509114, 0.520022
14, 0.0619048, 0.0309524, 0, 0.0619048, 0.0585154, 0.244261, 0.245863, 0.403891, 0.404145, 0.498693, 0.508856, 0.520662
15, 0.0666667, 0.0333333, 0, 0.0666667, 0.0629992, 0.245105, 0.246956, 0.404277, 0.404576, 0.497757, 0.508578, 0.521274
16, 0.0714286, 0.0357143, 0, 0.0714286, 0.0674789, 0.246008, 0.248122, 0.404691, 0.405039, 0.49682, 0.508282, 0.521857
17, 0.0761905, 0.0380952, 0, 0.0761905, 0.0719543, 0.246968, 0.249362, 0.405133, 0.405535, 0.495882, 0.507968, 0.522412
18, 0.0809524, 0.0404762, 0, 0.0809524, 0.0764248, 0.247984, 0.250673, 0.405603, 0.406063, 0.494945, 0.507636, 0.522938
19, 0.0857143, 0.0428571, 0, 0.0857143, 0.0808903, 0.249057, 0.252056, 0.4061, 0.406624, 0.494009, 0.507287, 0.523437
20, 0.0904762, 0.0452381, 0, 0.0904762, 0.0853502, 0.250185, 0.253507, 0.406625, 0.407217, 0.493073, 0.506921, 0.523909
21, 0.0952381, 0.047619, 0, 0.0952381, 0.0898041, 0.251367, 0.255025, 0.407177, 0.407843, 0.492139, 0.506539, 0.524356
22, 0.1, 0.05, 0, 0.1, 0.0942516, 0.252602, 0.25661, 0.407756, 0.408502, 0.491206, 0.506141, 0.524779
