r1: 0.10928778352565255, r2: 0.2713311749885645, cost: 0.004149000000000069, freq_dirac: 0.515235
r1: 0.09968820097995867, r2: 0.23445384003876968, cost: 0.0016460000000000363, freq_dirac: 0.504242
r1: 0.12612741005720612, r2: 0.2676145045766257, cost: 0.0013289999999999136, freq_dirac: 0.517749
r1: 0.08088707459570682, r2: 0.24711783353183667, cost: 0.005179000000000045, freq_dirac: 0.503841
r1: 0.09201150675138929, r2: 0.3872170390369381, cost: 0.017683999999999922, freq_dirac: 0.570773
r1: 0.10592572147940836, r2: 0.37975108829657656, cost: 0.014114000000000071, freq_dirac: 0.567559
r1: 0.0512231409274949, r2: 0.2521692261950649, cost: 0.008125000000000049, freq_dirac: 0.500371
r1: 0.07261116656305514, r2: 0.30961393079313226, cost: 0.011785999999999963, freq_dirac: 0.519921
r1: 0.1454614432191328, r2: 0.38824960414949705, cost: 0.0026530000000000165, freq_dirac: 0.580756
r1: 0.13767808402083864, r2: 0.3020016581719531, cost: 0.0029009999999999314, freq_dirac: 0.532604
r1: 0.06071287019323161, r2: 0.2899383972394759, cost: 0.010772000000000004, freq_dirac: 0.511133
r1: 0.054204517929578075, r2: 0.2614797791593809, cost: 0.008730000000000016, freq_dirac: 0.502791
r1: 0.11372413204522441, r2: 0.24292331524086178, cost: 0.0006960000000000299, freq_dirac: 0.50875
r1: 0.11051210580003776, r2: 0.27938310647761083, cost: 0.0048960000000000115, freq_dirac: 0.517962
r1: 0.0702520825214969, r2: 0.2947353284153484, cost: 0.010564000000000018, freq_dirac: 0.514302
r1: 0.06777939361262383, r2: 0.22566226627230995, cost: 0.004516999999999993, freq_dirac: 0.497753
r1: 0.0577819752525503, r2: 0.21140412477515486, cost: 0.004313000000000011, freq_dirac: 0.494231
r1: 0.06437841008767935, r2: 0.2054344245738522, cost: 0.0030870000000000064, freq_dirac: 0.494106
r1: 0.13093817659400617, r2: 0.3742477507494008, cost: 0.006460000000000021, freq_dirac: 0.568518
r1: 0.10090169382480049, r2: 0.215711327651085, cost: 0.00028100000000008674, freq_dirac: 0.50092
r1: 0.14998221294494563, r2: 0.22227303074322702, cost: 0.006187000000000054, freq_dirac: 0.511199
r1: 0.11791748228359909, r2: 0.36852087410481793, cost: 0.010639999999999983, freq_dirac: 0.561826
r1: 0.08919280181289764, r2: 0.3574010707775815, cost: 0.015329999999999955, freq_dirac: 0.547494
r1: 0.11996220262579221, r2: 0.28519954474695597, cost: 0.004117999999999955, freq_dirac: 0.521975
r1: 0.13729629047165975, r2: 0.39640155883172434, cost: 0.0003420000000000645, freq_dirac: 0.586147
r1: 0.07532836408660143, r2: 0.31298659197361484, cost: 0.011933000000000082, freq_dirac: 0.521783
r1: 0.08495098119118069, r2: 0.3546171759611775, cost: 0.015595000000000026, freq_dirac: 0.544746
r1: 0.13154121145309025, r2: 0.34259162968613743, cost: 0.0066910000000000025, freq_dirac: 0.549447
r1: 0.1241384956326012, r2: 0.34851831044370696, cost: 0.008553000000000033, freq_dirac: 0.550858
r1: 0.14365552304575746, r2: 0.3281239469333661, cost: 0.0032929999999999904, freq_dirac: 0.545407
r1: 0.08286078378184324, r2: 0.33415637180654784, cost: 0.013514000000000026, freq_dirac: 0.532933
r1: 0.09512578191541082, r2: 0.31976427255420287, cost: 0.010738000000000025, freq_dirac: 0.529032
r1: 0.10877407888443612, r2: 0.27807104578866526, cost: 0.0049080000000000235, freq_dirac: 0.517116
r1: 0.1262220464866806, r2: 0.252553115323878, cost: 0.000280000000000058, freq_dirac: 0.513501
r1: 0.11791748228359909, r2: 0.26943324924979856, cost: 0.0027599999999999847, freq_dirac: 0.516523
r1: 0.1346238883845244, r2: 0.2597033188743657, cost: 0.0006580000000000474, freq_dirac: 0.517495
r1: 0.1454614432191328, r2: 0.31039534930243556, cost: 0.0019939999999999403, freq_dirac: 0.537973
r1: 0.07875569029888092, r2: 0.27321628441389634, cost: 0.007916999999999952, freq_dirac: 0.509771
r1: 0.07418090011851268, r2: 0.2244930779356003, cost: 0.003758000000000039, freq_dirac: 0.498417
r1: 0.07007526224806272, r2: 0.29219667720921616, cost: 0.010372000000000048, freq_dirac: 0.513525
r1: 0.1473906609219264, r2: 0.3819614180151285, cost: 0.0022170000000000245, freq_dirac: 0.57658
r1: 0.1475710255932969, r2: 0.3787815896358228, cost: 0.001603000000000021, freq_dirac: 0.574394
r1: 0.12996147544437509, r2: 0.35484315985038684, cost: 0.007321000000000022, freq_dirac: 0.555918
r1: 0.08840673250431931, r2: 0.3028084430765524, cost: 0.009732999999999992, freq_dirac: 0.520815
r1: 0.05937214742431552, r2: 0.22822480094909864, cost: 0.005534999999999957, freq_dirac: 0.497053
r1: 0.10592572147940836, r2: 0.2577268903856966, cost: 0.0032209999999999184, freq_dirac: 0.510867
r1: 0.06469279714452911, r2: 0.39640155883172434, cost: 0.023104000000000013, freq_dirac: 0.57374
r1: 0.11042337689983348, r2: 0.258467503294857, cost: 0.0027719999999999967, freq_dirac: 0.512039
r1: 0.13950370715234395, r2: 0.36928246062056835, cost: 0.003481999999999985, freq_dirac: 0.566818
r1: 0.08495098119118069, r2: 0.27180263823112033, cost: 0.00712999999999997, freq_dirac: 0.51051
r1: 0.13566037654855095, r2: 0.33794367706858375, cost: 0.005516999999999994, freq_dirac: 0.54814
r1: 0.0922236569656421, r2: 0.29040059715289, cost: 0.008165000000000089, freq_dirac: 0.517461
r1: 0.07237890950501817, r2: 0.38939670660904446, cost: 0.02130999999999994, freq_dirac: 0.568446
r1: 0.06834067008819616, r2: 0.22227303074322702, cost: 0.004188999999999998, freq_dirac: 0.49728
r1: 0.050069612105518344, r2: 0.2991749476702108, cost: 0.012170000000000014, freq_dirac: 0.512207
r1: 0.11847534650622088, r2: 0.2054344245738522, cost: 0.0035690000000000444, freq_dirac: 0.501884
r1: 0.05458222181579529, r2: 0.3117673261656618, cost: 0.013108000000000009, freq_dirac: 0.517279
r1: 0.08168548849616719, r2: 0.21196060983989903, cost: 0.0018660000000000343, freq_dirac: 0.497426
r1: 0.14704691282128007, r2: 0.32683116542388563, cost: 0.00237900000000002, freq_dirac: 0.545694
r1: 0.09402949550980001, r2: 0.33797999977880805, cost: 0.012699000000000016, freq_dirac: 0.5374
r1: 0.1337498421290818, r2: 0.33415637180654784, cost: 0.005816000000000043, freq_dirac: 0.545765
r1: 0.08386153042383092, r2: 0.3541197275804278, cost: 0.015675000000000106, freq_dirac: 0.544221
r1: 0.11888723926091825, r2: 0.35753866873241924, cost: 0.010248000000000035, freq_dirac: 0.554963
r1: 0.10090169382480049, r2: 0.229654331186239, cost: 0.0010980000000000434, freq_dirac: 0.503548
r1: 0.1333948880120845, r2: 0.26070963282008364, cost: 0.00035200000000001896, freq_dirac: 0.517532
r1: 0.1448048274929722, r2: 0.24711783353183667, cost: 0.003326999999999969, freq_dirac: 0.516415
r1: 0.07653767091192581, r2: 0.2163391817493588, cost: 0.0027719999999999967, freq_dirac: 0.497335
r1: 0.127549027541719, r2: 0.2244930779356003, cost: 0.003074999999999939, freq_dirac: 0.50719
r1: 0.11843318433317483, r2: 0.21434353473028356, cost: 0.002770999999999968, freq_dirac: 0.503533
r1: 0.08689768406812151, r2: 0.29592827965713797, cost: 0.00927100000000003, freq_dirac: 0.518114
r1: 0.12804851693689526, r2: 0.27180263823112033, cost: 0.0016169999999999796, freq_dirac: 0.519613
r1: 0.13154121145309025, r2: 0.2826140796855709, cost: 0.0021459999999999813, freq_dirac: 0.523946
r1: 0.13333721318511693, r2: 0.29325630253594237, cost: 0.002882000000000051, freq_dirac: 0.528131
r1: 0.09237766553550333, r2: 0.3904284605385846, cost: 0.017867999999999995, freq_dirac: 0.573743
r1: 0.06111729555489522, r2: 0.290123317448342, cost: 0.010746000000000033, freq_dirac: 0.511254
r1: 0.07792518088857145, r2: 0.26673119544642243, cost: 0.007286000000000015, freq_dirac: 0.507822
r1: 0.12496950645915704, r2: 0.3180062847782605, cost: 0.006360000000000032, freq_dirac: 0.535765
r1: 0.07791523961607201, r2: 0.23422995468933785, cost: 0.004223000000000032, freq_dirac: 0.500659
r1: 0.10811284283073609, r2: 0.3787815896358228, cost: 0.01345200000000002, freq_dirac: 0.567154
r1: 0.0681147464823746, r2: 0.3822493442406235, cost: 0.02073400000000003, freq_dirac: 0.560997
r1: 0.06817823098055686, r2: 0.3193158343956068, cost: 0.013085999999999931, freq_dirac: 0.522867
r1: 0.11372413204522441, r2: 0.21731212739621106, cost: 0.0018919999999998938, freq_dirac: 0.503288
r1: 0.05567944656562549, r2: 0.2676145045766257, cost: 0.009212999999999971, freq_dirac: 0.504445
r1: 0.0642029501746122, r2: 0.23712197193382079, cost: 0.00583800000000001, freq_dirac: 0.499259
r1: 0.1343135227652322, r2: 0.21196060983989903, cost: 0.0050840000000000884, freq_dirac: 0.505854
r1: 0.1111444777143014, r2: 0.22227303074322702, cost: 0.0009860000000000424, freq_dirac: 0.503882
r1: 0.123427021521995, r2: 0.21140412477515486, cost: 0.0037559999999999816, freq_dirac: 0.503775
r1: 0.09295362980275512, r2: 0.2968035500141886, cost: 0.008680999999999939, freq_dirac: 0.519632
r1: 0.0922236569656421, r2: 0.28862793903203493, cost: 0.007927000000000017, freq_dirac: 0.516797
r1: 0.061717451754038886, r2: 0.29807860729472724, cost: 0.011408000000000085, freq_dirac: 0.513799
r1: 0.06437841008767935, r2: 0.3046554518394749, cost: 0.01176199999999994, freq_dirac: 0.51647
r1: 0.08993821731683163, r2: 0.258467503294857, cost: 0.005203999999999986, freq_dirac: 0.507971
r1: 0.08926436642337765, r2: 0.33415637180654784, cost: 0.012813000000000074, freq_dirac: 0.534394
r1: 0.07178865082776988, r2: 0.3418034385549974, cost: 0.01516699999999993, freq_dirac: 0.534003
r1: 0.0732623822116885, r2: 0.3571999020187593, cost: 0.01694300000000004, freq_dirac: 0.543486
r1: 0.06671371222542083, r2: 0.22940912975878658, cost: 0.004971000000000003, freq_dirac: 0.49826
r1: 0.08213663070596125, r2: 0.26347647315379413, cost: 0.0066150000000000375, freq_dirac: 0.507857
r1: 0.14236496146895097, r2: 0.37711044250725784, cost: 0.0012929999999999886, freq_dirac: 0.572394
r1: 0.07100575341909383, r2: 0.26451745423331824, cost: 0.007709999999999995, freq_dirac: 0.506077
r1: 0.05025795401790448, r2: 0.2551258585200345, cost: 0.00844900000000004, freq_dirac: 0.500918
r1: 0.13341072259380504, r2: 0.23712197193382079, cost: 0.0026490000000000125, freq_dirac: 0.511345
r1: 0.05357270493691343, r2: 0.20374619487264506, cost: 0.004025999999999974, freq_dirac: 0.492679
r1: 0.12179608457461867, r2: 0.31039534930243556, cost: 0.006288999999999989, freq_dirac: 0.531731
r1: 0.14155299167004953, r2: 0.38837343704145916, cost: 0.0005720000000000169, freq_dirac: 0.580373
r1: 0.07924413295105914, r2: 0.2492140884773993, cost: 0.005570999999999993, freq_dirac: 0.504015
r1: 0.08249720384816994, r2: 0.3720091129506737, cost: 0.017863000000000073, freq_dirac: 0.556144
r1: 0.1111444777143014, r2: 0.3781222589157922, cost: 0.01273599999999997, freq_dirac: 0.567416
r1: 0.127549027541719, r2: 0.3390379263506675, cost: 0.007458999999999993, freq_dirac: 0.546609
r1: 0.11957937629138027, r2: 0.22537364857016715, cost: 0.0019140000000000823, freq_dirac: 0.505917
r1: 0.14060220133326493, r2: 0.27381365530948376, cost: 0.000152000000000041, freq_dirac: 0.523349
r1: 0.14830406605384994, r2: 0.290423390051016, cost: 6.60000000000105e-05, freq_dirac: 0.531105
r1: 0.12946487648454424, r2: 0.34566161003634055, cost: 0.007284999999999986, freq_dirac: 0.550712
r1: 0.11646506345252905, r2: 0.2842448474895856, cost: 0.004496999999999973, freq_dirac: 0.520885
r1: 0.13154121145309025, r2: 0.31163870305640307, cost: 0.0048080000000000345, freq_dirac: 0.534861
r1: 0.07661651133309448, r2: 0.3740441456078669, cost: 0.01870000000000005, freq_dirac: 0.55624
r1: 0.11071183985192272, r2: 0.29503168174839034, cost: 0.0064950000000000285, freq_dirac: 0.523222
r1: 0.10029242629630074, r2: 0.25991358958505606, cost: 0.0041120000000000045, freq_dirac: 0.510252
r1: 0.1475710255932969, r2: 0.21767932470736218, cost: 0.0062349999999999905, freq_dirac: 0.509631
r1: 0.05273171697934468, r2: 0.3443837053099635, cost: 0.016509999999999914, freq_dirac: 0.531549
r1: 0.09117307924803196, r2: 0.25821523587067496, cost: 0.005078999999999945, freq_dirac: 0.508181
r1: 0.10552903656171941, r2: 0.2175268357223501, cost: 0.0007770000000000277, freq_dirac: 0.501955
r1: 0.0922236569656421, r2: 0.21691262408259315, cost: 0.0009399999999999964, freq_dirac: 0.49971
r1: 0.06016591823833969, r2: 0.3230491039313843, cost: 0.013900999999999941, freq_dirac: 0.522753
r1: 0.05665133070334254, r2: 0.2970027843698623, cost: 0.011675999999999909, freq_dirac: 0.512572
r1: 0.08238760505245399, r2: 0.2929961885794381, cost: 0.009427000000000074, freq_dirac: 0.516248
r1: 0.14080864497847012, r2: 0.33415637180654784, cost: 0.0040999999999999925, freq_dirac: 0.547585
r1: 0.14556170561073498, r2: 0.32034528518000516, cost: 0.0024939999999999962, freq_dirac: 0.542333
r1: 0.1262220464866806, r2: 0.2237889422693447, cost: 0.003077999999999914, freq_dirac: 0.506702
r1: 0.10365090407524823, r2: 0.39934398923949144, cost: 0.014701000000000075, freq_dirac: 0.584341
r1: 0.1375803234650415, r2: 0.26943324924979856, cost: 0.00010900000000002574, freq_dirac: 0.521183
r1: 0.12266653113106149, r2: 0.26070963282008364, cost: 0.0011750000000000371, freq_dirac: 0.515052
r1: 0.13104857427680572, r2: 0.3892235620936758, cost: 0.004650000000000043, freq_dirac: 0.579449
r1: 0.08215525516514417, r2: 0.2776258207245891, cost: 0.007943000000000033, freq_dirac: 0.511535
r1: 0.09237081214069551, r2: 0.23054505702409994, cost: 0.002203000000000066, freq_dirac: 0.502299
r1: 0.10156263071534993, r2: 0.3351773830660624, cost: 0.011612999999999984, freq_dirac: 0.537986
r1: 0.11736759616323023, r2: 0.24018967426559595, cost: 0.00017499999999992522, freq_dirac: 0.508802
r1: 0.14348333511683065, r2: 0.30109158035140926, cost: 0.0018060000000000853, freq_dirac: 0.533769
r1: 0.14155299167004953, r2: 0.3863435840381513, cost: 0.00012500000000004174, freq_dirac: 0.578854
r1: 0.1034019033104127, r2: 0.28921729243765587, cost: 0.0067869999999999875, freq_dirac: 0.519529
r1: 0.12612741005720612, r2: 0.31869441643820673, cost: 0.006185999999999914, freq_dirac: 0.536319
r1: 0.14080864497847012, r2: 0.2639185287187558, cost: 0.0011470000000000091, freq_dirac: 0.520265
r1: 0.14060220133326493, r2: 0.2617639837920036, cost: 0.0013529999999999376, freq_dirac: 0.519576
r1: 0.0785208563504412, r2: 0.2842448474895856, cost: 0.008822999999999914, freq_dirac: 0.512717
r1: 0.10756372251764175, r2: 0.2773862524755726, cost: 0.0049680000000000835, freq_dirac: 0.516623
r1: 0.1124721877145658, r2: 0.23038199112387597, cost: 0.00040200000000001346, freq_dirac: 0.505757
r1: 0.08850672253466521, r2: 0.24216378847594558, cost: 0.003807000000000005, freq_dirac: 0.503983
r1: 0.071511886590732, r2: 0.36514757103311424, cost: 0.017947999999999964, freq_dirac: 0.548322
r1: 0.11042337689983348, r2: 0.3752546358152378, cost: 0.012956999999999996, freq_dirac: 0.565134
r1: 0.12376837452127637, r2: 0.22227303074322702, cost: 0.0028170000000000694, freq_dirac: 0.506004
r1: 0.12112082988950439, r2: 0.21691262408259315, cost: 0.002935000000000021, freq_dirac: 0.50446
r1: 0.13096232819530312, r2: 0.34464016447353174, cost: 0.0069430000000000325, freq_dirac: 0.550558
r1: 0.05357270493691343, r2: 0.38647047400122037, cost: 0.02241599999999999, freq_dirac: 0.561572
r1: 0.05776360619883529, r2: 0.38633297105932607, cost: 0.02214500000000008, freq_dirac: 0.562384
r1: 0.07791523961607201, r2: 0.20848066079745703, cost: 0.001951000000000036, freq_dirac: 0.496303
r1: 0.06294412128850621, r2: 0.32857529447051437, cost: 0.014244000000000034, freq_dirac: 0.525713
r1: 0.11372413204522441, r2: 0.26990370003254055, cost: 0.003446999999999978, freq_dirac: 0.515803
r1: 0.1145382978435608, r2: 0.25097193975707266, cost: 0.0013720000000000399, freq_dirac: 0.510828
r1: 0.10028423200778072, r2: 0.34494025494920055, cost: 0.01266300000000009, freq_dirac: 0.542805
r1: 0.0880497331700823, r2: 0.2591382944774947, cost: 0.005506999999999929, freq_dirac: 0.507778
r1: 0.1069012225552924, r2: 0.2642139687268197, cost: 0.0037599999999999856, freq_dirac: 0.512741
r1: 0.14124738424522, r2: 0.26070963282008364, cost: 0.0015080000000000648, freq_dirac: 0.519472
r1: 0.13934352718657464, r2: 0.2622676016430345, cost: 0.0010729999999999906, freq_dirac: 0.519415
r1: 0.09503796500805063, r2: 0.30649087899323757, cost: 0.009372999999999965, freq_dirac: 0.523544
r1: 0.12037880087887627, r2: 0.2445792169958044, cost: 8.099999999999774e-05, freq_dirac: 0.510482
r1: 0.10348963465605385, r2: 0.2612011542285478, cost: 0.003894000000000064, freq_dirac: 0.511273
r1: 0.0946740560990321, r2: 0.22497713837449346, cost: 0.0013270000000000781, freq_dirac: 0.501529
r1: 0.11635632167015615, r2: 0.22369885021665512, cost: 0.001647000000000065, freq_dirac: 0.505007
r1: 0.09237081214069551, r2: 0.2021334946038435, cost: 0.0004669999999999952, freq_dirac: 0.497314
r1: 0.12371220030067998, r2: 0.3036549110698516, cost: 0.005310000000000037, freq_dirac: 0.529528
r1: 0.13502529057049667, r2: 0.2884225072270998, cost: 0.0020620000000000083, freq_dirac: 0.526737
r1: 0.07477426120642713, r2: 0.30446348641027254, cost: 0.011109000000000036, freq_dirac: 0.51852
r1: 0.12229983373944364, r2: 0.242425417162753, cost: 0.0006369999999999987, freq_dirac: 0.510236
r1: 0.1050425238927642, r2: 0.27914909523510223, cost: 0.005511000000000044, freq_dirac: 0.516594
r1: 0.12815984321479335, r2: 0.3620199323422643, cost: 0.007854000000000028, freq_dirac: 0.559883
