k index, k1, k2, k3, kmag/2pi, zeven band 1, zeven band 2, zeven band 3, zeven band 4, zeven band 5, zeven band 6, zeven band 7, zeven band 8
1, 0.5, 0, 0, 0.57735, 0.273663, 0.33391, 0.421302, 0.490092, 0.562843, 0.564786, 0.592047, 0.592458
2, 0.47619, 0, 0, 0.549857, 0.271873, 0.335543, 0.421474, 0.48957, 0.546382, 0.566044, 0.580135, 0.594425
3, 0.452381, 0, 0, 0.522365, 0.266983, 0.339957, 0.421993, 0.487519, 0.528956, 0.539793, 0.59195, 0.594692
4, 0.428571, 0, 0, 0.494872, 0.259936, 0.346194, 0.422857, 0.48186, 0.513624, 0.513979, 0.588156, 0.60578
5, 0.404762, 0, 0, 0.467379, 0.251506, 0.353454, 0.424067, 0.469311, 0.487593, 0.505055, 0.58329, 0.594639
6, 0.380952, 0, 0, 0.439886, 0.242167, 0.361217, 0.425613, 0.45104, 0.461771, 0.501252, 0.577256, 0.579558
7, 0.357143, 0, 0, 0.412393, 0.23218, 0.369138, 0.427282, 0.430292, 0.436461, 0.499475, 0.564715, 0.568523
8, 0.333333, 0, 0, 0.3849, 0.221684, 0.376843, 0.408568, 0.410818, 0.430161, 0.498274, 0.550403, 0.554906
9, 0.309524, 0, 0, 0.357407, 0.210744, 0.380452, 0.386474, 0.39013, 0.432781, 0.496926, 0.53699, 0.5394
10, 0.285714, 0, 0, 0.329914, 0.199371, 0.359775, 0.364324, 0.39384, 0.435873, 0.494644, 0.523999, 0.525187
11, 0.261905, 0, 0, 0.302422, 0.187541, 0.33603, 0.342333, 0.400817, 0.439367, 0.490183, 0.509249, 0.51626
12, 0.238095, 0, 0, 0.274929, 0.175186, 0.312798, 0.320686, 0.407569, 0.443202, 0.482714, 0.495424, 0.5111
13, 0.214286, 0, 0, 0.247436, 0.162199, 0.290472, 0.299565, 0.413862, 0.4472, 0.473301, 0.482814, 0.508721
14, 0.190476, 0, 0, 0.219943, 0.148431, 0.269373, 0.279174, 0.419617, 0.450758, 0.463444, 0.472073, 0.507713
15, 0.166667, 0, 0, 0.19245, 0.133704, 0.249856, 0.259748, 0.424784, 0.45134, 0.453976, 0.465731, 0.50733
16, 0.142857, 0, 0, 0.164957, 0.117842, 0.232294, 0.241572, 0.429255, 0.445309, 0.446181, 0.466582, 0.507246
17, 0.119048, 0, 0, 0.137464, 0.100726, 0.217035, 0.224991, 0.432303, 0.437683, 0.440251, 0.470243, 0.507305
18, 0.0952381, 0, 0, 0.109971, 0.082348, 0.204348, 0.210417, 0.430387, 0.431256, 0.439438, 0.474175, 0.507425
19, 0.0714286, 0, 0, 0.0824786, 0.0628317, 0.194397, 0.198317, 0.425953, 0.426144, 0.441759, 0.477663, 0.507558
20, 0.047619, 0, 0, 0.0549857, 0.0424061, 0.187262, 0.189189, 0.42238, 0.422433, 0.443901, 0.480356, 0.507671
