k index, k1, k2, k3, kmag/2pi, zodd band 1, zodd band 2, zodd band 3, zodd band 4, zodd band 5, zodd band 6, zodd band 7, zodd band 8
1, 0.5, 0, 0, 0.57735, 0.373823, 0.38278, 0.449134, 0.484419, 0.502511, 0.536954, 0.582347, 0.583002
2, 0.47619, 0, 0, 0.549857, 0.36927, 0.387028, 0.44813, 0.48441, 0.502619, 0.537423, 0.55895, 0.582317
3, 0.452381, 0, 0, 0.522365, 0.361658, 0.393706, 0.445157, 0.484396, 0.502926, 0.533314, 0.538652, 0.582195
4, 0.428571, 0, 0, 0.494872, 0.353227, 0.400519, 0.440307, 0.484394, 0.502948, 0.508302, 0.539982, 0.581072
5, 0.404762, 0, 0, 0.467379, 0.344122, 0.407216, 0.433684, 0.482217, 0.484381, 0.504535, 0.539291, 0.566208
6, 0.380952, 0, 0, 0.439886, 0.334252, 0.413691, 0.425364, 0.457497, 0.484234, 0.505436, 0.531524, 0.552125
7, 0.357143, 0, 0, 0.412393, 0.323437, 0.415385, 0.419339, 0.43399, 0.483581, 0.506505, 0.518311, 0.534704
8, 0.333333, 0, 0, 0.3849, 0.311428, 0.403788, 0.408351, 0.427767, 0.481351, 0.506101, 0.507268, 0.518599
9, 0.309524, 0, 0, 0.357407, 0.297925, 0.386457, 0.390678, 0.433364, 0.475527, 0.498656, 0.500651, 0.511068
10, 0.285714, 0, 0, 0.329914, 0.28262, 0.365596, 0.376276, 0.439056, 0.466398, 0.486911, 0.496096, 0.512073
11, 0.261905, 0, 0, 0.302422, 0.265297, 0.346356, 0.360918, 0.444147, 0.456541, 0.474355, 0.495853, 0.513749
12, 0.238095, 0, 0, 0.274929, 0.245947, 0.328878, 0.345009, 0.446971, 0.4472, 0.465158, 0.496554, 0.515584
13, 0.214286, 0, 0, 0.247436, 0.224789, 0.313082, 0.328966, 0.438685, 0.443373, 0.463571, 0.497723, 0.517466
14, 0.190476, 0, 0, 0.219943, 0.202177, 0.298796, 0.313193, 0.431043, 0.435633, 0.467347, 0.499175, 0.519311
15, 0.166667, 0, 0, 0.19245, 0.178477, 0.285878, 0.298067, 0.424261, 0.42778, 0.472451, 0.500812, 0.521028
16, 0.142857, 0, 0, 0.164957, 0.153995, 0.274284, 0.283949, 0.41833, 0.420778, 0.477898, 0.502571, 0.522488
17, 0.119048, 0, 0, 0.137464, 0.128961, 0.264067, 0.27119, 0.413257, 0.414833, 0.483445, 0.50439, 0.523488
18, 0.0952381, 0, 0, 0.109971, 0.103542, 0.255357, 0.260134, 0.409058, 0.409989, 0.489007, 0.506195, 0.523669
19, 0.0714286, 0, 0, 0.0824786, 0.0778566, 0.248323, 0.251108, 0.405756, 0.406243, 0.494545, 0.507883, 0.522485
20, 0.047619, 0, 0, 0.0549857, 0.051994, 0.243141, 0.244411, 0.403375, 0.403581, 0.500026, 0.509311, 0.519619
21, 0.0238095, 0, 0, 0.0274929, 0.0260228, 0.239963, 0.240286, 0.401937, 0.40199, 0.505407, 0.510293, 0.515463
22, 0, 0, 0, 0, 0, 0.238891, 0.238892, 0.401454, 0.401464, 0.510562, 0.51064, 0.510659
23, 0.015873, 0.015873, 0, 0.0183286, 0.0173517, 0.239368, 0.239513, 0.401678, 0.401689, 0.507166, 0.510485, 0.513902
24, 0.031746, 0.031746, 0, 0.0366572, 0.0346883, 0.240792, 0.241364, 0.402318, 0.402395, 0.503627, 0.510027, 0.516955
25, 0.047619, 0.047619, 0, 0.0549857, 0.051994, 0.24314, 0.244412, 0.403382, 0.403574, 0.500025, 0.509313, 0.519626
26, 0.0634921, 0.0634921, 0, 0.0733143, 0.0692517, 0.246381, 0.248604, 0.404866, 0.405228, 0.496378, 0.508402, 0.521721
27, 0.0793651, 0.0793651, 0, 0.0916429, 0.086442, 0.250469, 0.253873, 0.406762, 0.407363, 0.492701, 0.50735, 0.523078
28, 0.0952381, 0.0952381, 0, 0.109971, 0.103542, 0.255356, 0.260135, 0.409065, 0.409981, 0.489003, 0.506206, 0.523687
29, 0.111111, 0.111111, 0, 0.1283, 0.120524, 0.260987, 0.2673, 0.411766, 0.413088, 0.485295, 0.505012, 0.523685
30, 0.126984, 0.126984, 0, 0.146629, 0.137356, 0.267311, 0.275272, 0.414859, 0.416684, 0.481586, 0.503799, 0.523247
31, 0.142857, 0.142857, 0, 0.164957, 0.153995, 0.274283, 0.28395, 0.418337, 0.420768, 0.477893, 0.502592, 0.522513
32, 0.15873, 0.15873, 0, 0.183286, 0.17039, 0.281864, 0.293232, 0.422196, 0.425325, 0.474242, 0.501412, 0.521577
33, 0.174603, 0.174603, 0, 0.201614, 0.186477, 0.290036, 0.303015, 0.426433, 0.430311, 0.470686, 0.500277, 0.520503
34, 0.190476, 0.190476, 0, 0.219943, 0.202176, 0.298794, 0.313194, 0.431049, 0.435618, 0.467344, 0.499205, 0.519337
35, 0.206349, 0.206349, 0, 0.238272, 0.217393, 0.308158, 0.323661, 0.436047, 0.440935, 0.464535, 0.498215, 0.518115
36, 0.222222, 0.222222, 0, 0.2566, 0.232021, 0.318168, 0.334305, 0.441432, 0.445333, 0.463188, 0.497333, 0.516865
37, 0.238095, 0.238095, 0, 0.274929, 0.245946, 0.328875, 0.345011, 0.446944, 0.447205, 0.465168, 0.496595, 0.51561
38, 0.253968, 0.253968, 0, 0.293257, 0.259065, 0.340332, 0.355658, 0.445484, 0.453349, 0.470749, 0.496059, 0.514376
39, 0.269841, 0.269841, 0, 0.311586, 0.271299, 0.352573, 0.366122, 0.442549, 0.459805, 0.478312, 0.495836, 0.513189
40, 0.285714, 0.285714, 0, 0.329914, 0.282617, 0.365593, 0.376279, 0.439036, 0.466402, 0.486915, 0.496145, 0.512097
41, 0.301587, 0.301587, 0, 0.348243, 0.293034, 0.37934, 0.386009, 0.435271, 0.472721, 0.49609, 0.497442, 0.51124
42, 0.31746, 0.31746, 0, 0.366572, 0.302608, 0.393697, 0.395208, 0.431418, 0.477963, 0.500536, 0.50466, 0.511657
43, 0.333333, 0.333333, 0, 0.3849, 0.311424, 0.403791, 0.408344, 0.427753, 0.481377, 0.506138, 0.507293, 0.5186
44, 0.34127, 0.31746, 0, 0.381063, 0.309636, 0.402005, 0.405314, 0.428734, 0.480057, 0.50353, 0.509012, 0.51689
45, 0.349206, 0.301587, 0, 0.378741, 0.308541, 0.400827, 0.4035, 0.42997, 0.477694, 0.501419, 0.510829, 0.517388
46, 0.357143, 0.285714, 0, 0.377964, 0.308172, 0.400318, 0.402933, 0.431383, 0.474682, 0.500245, 0.511534, 0.520483
47, 0.365079, 0.269841, 0, 0.378741, 0.308541, 0.400499, 0.403621, 0.432906, 0.471281, 0.500102, 0.512189, 0.524767
48, 0.373016, 0.253968, 0, 0.381063, 0.309638, 0.401355, 0.405566, 0.43445, 0.467723, 0.500997, 0.513421, 0.529389
49, 0.380952, 0.238095, 0, 0.3849, 0.311426, 0.40284, 0.408764, 0.435874, 0.464276, 0.502888, 0.51539, 0.533963
50, 0.388889, 0.222222, 0, 0.390209, 0.313853, 0.404879, 0.413194, 0.436931, 0.461298, 0.505719, 0.518122, 0.538088
51, 0.396825, 0.206349, 0, 0.396931, 0.316849, 0.407371, 0.418797, 0.43727, 0.459269, 0.509423, 0.521565, 0.540971
52, 0.404762, 0.190476, 0, 0.404995, 0.320337, 0.410168, 0.425372, 0.436718, 0.458627, 0.513911, 0.525518, 0.541601
53, 0.412698, 0.174603, 0, 0.414323, 0.324236, 0.413039, 0.431109, 0.437143, 0.459425, 0.518983, 0.529288, 0.541056
54, 0.420635, 0.15873, 0, 0.424832, 0.328468, 0.415527, 0.430891, 0.444309, 0.461318, 0.523812, 0.531431, 0.542714
55, 0.428571, 0.142857, 0, 0.436436, 0.332961, 0.416638, 0.429853, 0.454295, 0.463902, 0.525056, 0.534519, 0.547589
56, 0.436508, 0.126984, 0, 0.44905, 0.337651, 0.415311, 0.430733, 0.465492, 0.466906, 0.522584, 0.539805, 0.553761
57, 0.444444, 0.111111, 0, 0.462592, 0.342481, 0.412087, 0.433212, 0.470019, 0.477765, 0.519175, 0.543743, 0.560354
58, 0.452381, 0.0952381, 0, 0.476983, 0.347405, 0.407979, 0.436309, 0.473191, 0.490867, 0.515644, 0.544683, 0.567859
59, 0.460317, 0.0793651, 0, 0.492149, 0.352381, 0.403478, 0.439509, 0.476225, 0.504523, 0.512511, 0.54363, 0.574407
60, 0.468254, 0.0634921, 0, 0.508019, 0.357371, 0.398795, 0.442539, 0.478974, 0.508575, 0.52003, 0.541862, 0.577836
61, 0.47619, 0.047619, 0, 0.524531, 0.362324, 0.394046, 0.445201, 0.481284, 0.506111, 0.535092, 0.540147, 0.579919
62, 0.484127, 0.031746, 0, 0.541624, 0.367143, 0.38936, 0.447303, 0.483015, 0.504146, 0.538321, 0.551283, 0.581292
63, 0.492063, 0.015873, 0, 0.559247, 0.371509, 0.385069, 0.448662, 0.484069, 0.502922, 0.537314, 0.567681, 0.582092
64, 0.5, 0, 0, 0.57735, 0.373823, 0.38278, 0.449134, 0.484419, 0.502511, 0.536954, 0.582346, 0.583002
