k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
1, 0.2, 0, 0, 0.2, 0.0712852, 0.28249, 0.345524, 0.368575, 0.411678, 0.452901, 0.474557, 0.558552
2, 0.181818, 0, 0, 0.181818, 0.0648381, 0.288392, 0.344252, 0.368097, 0.40764, 0.455058, 0.476883, 0.555053
3, 0.163636, 0, 0, 0.163636, 0.0583807, 0.294238, 0.343108, 0.367651, 0.403122, 0.457666, 0.47923, 0.551656
4, 0.145455, 0, 0, 0.145455, 0.0519144, 0.300011, 0.342098, 0.367242, 0.398309, 0.460522, 0.481572, 0.548384
5, 0.127273, 0, 0, 0.127273, 0.0454404, 0.305683, 0.341232, 0.366872, 0.39333, 0.463479, 0.48388, 0.545263
6, 0.109091, 0, 0, 0.109091, 0.0389602, 0.311212, 0.340524, 0.366546, 0.38828, 0.466418, 0.486114, 0.542329
7, 0.0909091, 0, 0, 0.0909091, 0.0324746, 0.316525, 0.340001, 0.366266, 0.38325, 0.469229, 0.488224, 0.53963
8, 0.0727273, 0, 0, 0.0727273, 0.0259847, 0.321492, 0.339714, 0.366033, 0.378346, 0.471799, 0.490146, 0.537229
9, 0.0545455, 0, 0, 0.0545455, 0.0194915, 0.325875, 0.339757, 0.365851, 0.37373, 0.474007, 0.491797, 0.535206
10, 0.0363636, 0, 0, 0.0363636, 0.0129957, 0.329281, 0.340249, 0.36572, 0.369689, 0.475719, 0.493083, 0.533656
11, 0.0181818, 0, 0, 0.0181818, 0.00649829, 0.331318, 0.341075, 0.36564, 0.366737, 0.476811, 0.493906, 0.532675
12, 0, 0, 0, 0, 0, 0.331956, 0.34153, 0.365613, 0.365615, 0.477185, 0.49419, 0.532338
13, 0, 0.0181818, 0, 0.0181818, 0.00649844, 0.331318, 0.341075, 0.36564, 0.366737, 0.47681, 0.493906, 0.532756
14, 0, 0.0363636, 0, 0.0363636, 0.0129957, 0.329281, 0.340249, 0.36572, 0.369688, 0.475719, 0.493083, 0.533978
15, 0, 0.0545455, 0, 0.0545455, 0.0194915, 0.325875, 0.339757, 0.365851, 0.37373, 0.474006, 0.491797, 0.535911
16, 0, 0.0727273, 0, 0.0727273, 0.0259847, 0.321491, 0.339714, 0.366034, 0.378346, 0.471799, 0.490146, 0.538432
17, 0, 0.0909091, 0, 0.0909091, 0.0324746, 0.316524, 0.340001, 0.366266, 0.38325, 0.469229, 0.488224, 0.541418
18, 0, 0.109091, 0, 0.109091, 0.0389601, 0.311212, 0.340524, 0.366546, 0.38828, 0.466418, 0.486114, 0.544755
19, 0, 0.127273, 0, 0.127273, 0.0454404, 0.305683, 0.341232, 0.366872, 0.39333, 0.463479, 0.48388, 0.548347
20, 0, 0.145455, 0, 0.145455, 0.0519143, 0.300011, 0.342098, 0.367242, 0.398309, 0.460522, 0.481572, 0.552114
21, 0, 0.163636, 0, 0.163636, 0.0583806, 0.294238, 0.343108, 0.367651, 0.403122, 0.457666, 0.47923, 0.55598
22, 0, 0.181818, 0, 0.181818, 0.0648381, 0.288391, 0.344252, 0.368097, 0.40764, 0.455058, 0.476884, 0.559869
23, 0, 0.2, 0, 0.2, 0.0712852, 0.28249, 0.345525, 0.368575, 0.411678, 0.452901, 0.474557, 0.563692
