k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
1, 0.2, 0, 0, 0.2, 0.0683978, 0.270082, 0.338199, 0.349098, 0.405518, 0.425774, 0.458132, 0.517972
2, 0.181818, 0, 0, 0.181818, 0.0621945, 0.275851, 0.33712, 0.347952, 0.40094, 0.429408, 0.460213, 0.513537
3, 0.163636, 0, 0, 0.163636, 0.0559867, 0.28157, 0.336139, 0.346811, 0.396264, 0.433084, 0.46245, 0.509141
4, 0.145455, 0, 0, 0.145455, 0.0497751, 0.287226, 0.335256, 0.345655, 0.391583, 0.436795, 0.464753, 0.504788
5, 0.127273, 0, 0, 0.127273, 0.0435602, 0.292806, 0.334474, 0.344454, 0.386986, 0.440533, 0.467046, 0.500486
6, 0.109091, 0, 0, 0.109091, 0.0373424, 0.298287, 0.333793, 0.343162, 0.382567, 0.444285, 0.469259, 0.496248
7, 0.0909091, 0, 0, 0.0909091, 0.0311223, 0.303641, 0.333216, 0.341716, 0.37844, 0.44803, 0.471322, 0.492092
8, 0.0727273, 0, 0, 0.0727273, 0.0249001, 0.308823, 0.332742, 0.340036, 0.374741, 0.451731, 0.473162, 0.488055
9, 0.0545455, 0, 0, 0.0545455, 0.0186764, 0.313764, 0.332372, 0.338045, 0.371631, 0.455317, 0.474703, 0.484209
10, 0.0363636, 0, 0, 0.0363636, 0.0124517, 0.318331, 0.332108, 0.335719, 0.36927, 0.458623, 0.475871, 0.480717
11, 0.0181818, 0, 0, 0.0181818, 0.00622603, 0.322177, 0.33195, 0.333272, 0.367797, 0.461248, 0.476603, 0.477981
12, 0, 0, 0, 0, 0, 0.324028, 0.331897, 0.331897, 0.367297, 0.46234, 0.476851, 0.476852
13, 0, 0.0181818, 0, 0.0181818, 0.00622608, 0.322177, 0.33195, 0.333272, 0.367797, 0.461248, 0.476602, 0.477981
14, 0, 0.0363636, 0, 0.0363636, 0.0124517, 0.318331, 0.332108, 0.335719, 0.36927, 0.458623, 0.475871, 0.480717
15, 0, 0.0545455, 0, 0.0545455, 0.0186765, 0.313764, 0.332373, 0.338045, 0.371631, 0.455317, 0.474703, 0.484209
16, 0, 0.0727273, 0, 0.0727273, 0.0249001, 0.308823, 0.332742, 0.340036, 0.374741, 0.451731, 0.473162, 0.488055
17, 0, 0.0909091, 0, 0.0909091, 0.0311223, 0.303641, 0.333216, 0.341716, 0.37844, 0.44803, 0.471322, 0.492092
18, 0, 0.109091, 0, 0.109091, 0.0373424, 0.298287, 0.333793, 0.343162, 0.382567, 0.444285, 0.469259, 0.496248
19, 0, 0.127273, 0, 0.127273, 0.0435602, 0.292806, 0.334474, 0.344454, 0.386986, 0.440533, 0.467046, 0.500487
20, 0, 0.145455, 0, 0.145455, 0.0497751, 0.287226, 0.335256, 0.345655, 0.391583, 0.436795, 0.464753, 0.504788
21, 0, 0.163636, 0, 0.163636, 0.0559867, 0.28157, 0.336139, 0.346811, 0.396264, 0.433084, 0.46245, 0.509141
22, 0, 0.181818, 0, 0.181818, 0.0621945, 0.275851, 0.337121, 0.347952, 0.40094, 0.429408, 0.460213, 0.513538
23, 0, 0.2, 0, 0.2, 0.0683978, 0.270082, 0.338199, 0.349098, 0.405518, 0.425774, 0.458132, 0.517972
