k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
1, 0.5, 0, 0, 0.5, 0.216246, 0.339811, 0.56693, 0.585039, 0.629802, 0.681511, 0.717846, 0.813545
2, 0.454545, 0, 0, 0.454545, 0.212094, 0.343101, 0.566311, 0.583447, 0.631787, 0.682774, 0.717462, 0.814511
3, 0.409091, 0, 0, 0.409091, 0.200788, 0.351816, 0.564558, 0.579394, 0.636925, 0.68646, 0.716523, 0.817292
4, 0.363636, 0, 0, 0.363636, 0.184574, 0.363674, 0.561944, 0.574135, 0.643614, 0.692283, 0.715636, 0.821621
5, 0.318182, 0, 0, 0.318182, 0.165271, 0.3768, 0.558814, 0.568527, 0.650359, 0.699871, 0.715755, 0.827155
6, 0.272727, 0, 0, 0.272727, 0.144005, 0.389979, 0.555504, 0.563029, 0.655841, 0.708848, 0.718027, 0.833562
7, 0.227273, 0, 0, 0.227273, 0.121446, 0.402424, 0.552296, 0.557892, 0.659172, 0.718856, 0.723293, 0.84055
8, 0.181818, 0, 0, 0.181818, 0.0980093, 0.413559, 0.549412, 0.553288, 0.66035, 0.72954, 0.731454, 0.847873
9, 0.136364, 0, 0, 0.136364, 0.0739679, 0.422904, 0.547016, 0.54938, 0.660114, 0.740475, 0.741462, 0.836555
10, 0.0909091, 0, 0, 0.0909091, 0.0495202, 0.430013, 0.545227, 0.546354, 0.659322, 0.75097, 0.751695, 0.824586
11, 0.0454545, 0, 0, 0.0454545, 0.0248205, 0.434484, 0.544122, 0.544418, 0.658607, 0.759548, 0.759898, 0.81513
12, 0, 0, 0, 0, 0, 0.436013, 0.543747, 0.543748, 0.65833, 0.763175, 0.76318, 0.811211
13, 0.0454545, 0.0454545, 0, 0.0642824, 0.0351149, 0.433048, 0.542112, 0.547398, 0.658899, 0.750093, 0.764243, 0.816575
14, 0.0909091, 0.0909091, 0, 0.128565, 0.0701394, 0.425263, 0.537475, 0.557206, 0.660568, 0.724219, 0.766797, 0.821011
15, 0.136364, 0.136364, 0, 0.192847, 0.10497, 0.414795, 0.53056, 0.570864, 0.663247, 0.695198, 0.769072, 0.822221
16, 0.181818, 0.181818, 0, 0.25713, 0.139472, 0.403396, 0.522267, 0.585916, 0.666112, 0.66685, 0.768939, 0.821258
17, 0.227273, 0.227273, 0, 0.321412, 0.173452, 0.392215, 0.513461, 0.597168, 0.641918, 0.671312, 0.765363, 0.817533
18, 0.272727, 0.272727, 0, 0.385695, 0.206602, 0.382024, 0.50488, 0.587631, 0.639455, 0.676588, 0.758901, 0.810405
19, 0.318182, 0.318182, 0, 0.449977, 0.23838, 0.373422, 0.497114, 0.561846, 0.654251, 0.682637, 0.750679, 0.800066
20, 0.363636, 0.363636, 0, 0.514259, 0.267755, 0.367003, 0.490623, 0.534122, 0.672413, 0.689413, 0.7416, 0.787274
21, 0.409091, 0.409091, 0, 0.578542, 0.292678, 0.363478, 0.485749, 0.508659, 0.690762, 0.696857, 0.732244, 0.772997
22, 0.454545, 0.454545, 0, 0.642824, 0.309636, 0.363246, 0.482732, 0.489312, 0.704853, 0.707249, 0.723012, 0.758979
23, 0.5, 0.5, 0, 0.707107, 0.315487, 0.364106, 0.481708, 0.481713, 0.711798, 0.715642, 0.715648, 0.751413
24, 0.5, 0.454545, 0, 0.67573, 0.312636, 0.363477, 0.482895, 0.484969, 0.705648, 0.715425, 0.717513, 0.755712
25, 0.5, 0.409091, 0, 0.64603, 0.304763, 0.361687, 0.486356, 0.494089, 0.694789, 0.714755, 0.71842, 0.76573
26, 0.5, 0.363636, 0, 0.618249, 0.293425, 0.359001, 0.491833, 0.507559, 0.68234, 0.713599, 0.718651, 0.778062
27, 0.5, 0.318182, 0, 0.592655, 0.28022, 0.35576, 0.498993, 0.523851, 0.669264, 0.711884, 0.718641, 0.791308
28, 0.5, 0.272727, 0, 0.569544, 0.266437, 0.352303, 0.507505, 0.541766, 0.65595, 0.709499, 0.718531, 0.804935
29, 0.5, 0.227273, 0, 0.549229, 0.253067, 0.348927, 0.517074, 0.560403, 0.642587, 0.706283, 0.718379, 0.81869
30, 0.5, 0.181818, 0, 0.532032, 0.240906, 0.345869, 0.527453, 0.579009, 0.629292, 0.702052, 0.718218, 0.832414
31, 0.5, 0.136364, 0, 0.518262, 0.230628, 0.343315, 0.538412, 0.596811, 0.616181, 0.69668, 0.71807, 0.845975
32, 0.5, 0.0909091, 0, 0.508197, 0.22281, 0.341398, 0.549671, 0.603444, 0.612747, 0.690372, 0.717952, 0.820177
33, 0.5, 0.0454545, 0, 0.502062, 0.217914, 0.340212, 0.56054, 0.591713, 0.624906, 0.684315, 0.717875, 0.815248
34, 0.5, 0, 0, 0.5, 0.216246, 0.339811, 0.56693, 0.585039, 0.629802, 0.681511, 0.717846, 0.813545
