k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
1, 0.5, 0, 0, 0.5, 0.195317, 0.266305, 0.42547, 0.443354, 0.595455, 0.596068, 0.632852, 0.728082
2, 0.454545, 0, 0, 0.454545, 0.190266, 0.270992, 0.425328, 0.443078, 0.581671, 0.609703, 0.633259, 0.729214
3, 0.409091, 0, 0, 0.409091, 0.177776, 0.282394, 0.424915, 0.442276, 0.567452, 0.623485, 0.634453, 0.732529
4, 0.363636, 0, 0, 0.363636, 0.161524, 0.296845, 0.42427, 0.441022, 0.553123, 0.63636, 0.637118, 0.737746
5, 0.318182, 0, 0, 0.318182, 0.143386, 0.312489, 0.423449, 0.439423, 0.538719, 0.638855, 0.650618, 0.744214
6, 0.272727, 0, 0, 0.272727, 0.124173, 0.328531, 0.422525, 0.437598, 0.52429, 0.641772, 0.663997, 0.750326
7, 0.227273, 0, 0, 0.227273, 0.104273, 0.344599, 0.421574, 0.435651, 0.509916, 0.644905, 0.677265, 0.739129
8, 0.181818, 0, 0, 0.181818, 0.0839003, 0.360473, 0.420674, 0.433637, 0.495745, 0.648014, 0.690404, 0.738348
9, 0.136364, 0, 0, 0.136364, 0.063192, 0.375962, 0.419894, 0.43148, 0.482088, 0.650836, 0.703353, 0.73758
10, 0.0909091, 0, 0, 0.0909091, 0.0422508, 0.390788, 0.419292, 0.428781, 0.469676, 0.653106, 0.715959, 0.736919
11, 0.0454545, 0, 0, 0.0454545, 0.0211616, 0.404361, 0.418913, 0.424465, 0.460226, 0.654582, 0.727833, 0.736467
12, 0, 0, 0, 0, 0, 0.413649, 0.418784, 0.418784, 0.45655, 0.655095, 0.736306, 0.736306
13, 0.0454545, 0.0454545, 0, 0.0642824, 0.02991, 0.401422, 0.412443, 0.431218, 0.463088, 0.654029, 0.725201, 0.732414
14, 0.0909091, 0.0909091, 0, 0.128565, 0.0596133, 0.38732, 0.399578, 0.445971, 0.476557, 0.650511, 0.711556, 0.723753
15, 0.136364, 0.136364, 0, 0.192847, 0.0888844, 0.373688, 0.385335, 0.46079, 0.491861, 0.643795, 0.697608, 0.713611
16, 0.181818, 0.181818, 0, 0.25713, 0.117457, 0.360794, 0.371252, 0.475555, 0.507545, 0.633362, 0.683487, 0.70298
17, 0.227273, 0.227273, 0, 0.321412, 0.144995, 0.348881, 0.357942, 0.490206, 0.523104, 0.619573, 0.669273, 0.691808
18, 0.272727, 0.272727, 0, 0.385695, 0.171058, 0.338205, 0.345767, 0.504699, 0.538304, 0.60363, 0.655046, 0.680007
19, 0.318182, 0.318182, 0, 0.449977, 0.195048, 0.329019, 0.334986, 0.518976, 0.553001, 0.587109, 0.640905, 0.667763
20, 0.363636, 0.363636, 0, 0.514259, 0.216146, 0.321569, 0.325805, 0.532918, 0.566928, 0.571782, 0.627014, 0.655397
21, 0.409091, 0.409091, 0, 0.578542, 0.233221, 0.316071, 0.318463, 0.546189, 0.558801, 0.580289, 0.613745, 0.643366
22, 0.454545, 0.454545, 0, 0.642824, 0.244735, 0.312698, 0.313428, 0.550325, 0.557646, 0.591474, 0.602277, 0.632796
23, 0.5, 0.5, 0, 0.707107, 0.248889, 0.311561, 0.311561, 0.547337, 0.563113, 0.596803, 0.596803, 0.627669
24, 0.5, 0.454545, 0, 0.67573, 0.246851, 0.310504, 0.314077, 0.548842, 0.560082, 0.596777, 0.596884, 0.630548
25, 0.5, 0.409091, 0, 0.64603, 0.24157, 0.307468, 0.320802, 0.552266, 0.553225, 0.596704, 0.596987, 0.63805
26, 0.5, 0.363636, 0, 0.618249, 0.234573, 0.302815, 0.33024, 0.54173, 0.560137, 0.596589, 0.596993, 0.648238
27, 0.5, 0.318182, 0, 0.592655, 0.227013, 0.297046, 0.341287, 0.529771, 0.569082, 0.596447, 0.59691, 0.659818
28, 0.5, 0.272727, 0, 0.569544, 0.21959, 0.290713, 0.353309, 0.517041, 0.579493, 0.596303, 0.596771, 0.672119
29, 0.5, 0.227273, 0, 0.549229, 0.212741, 0.284351, 0.36594, 0.503875, 0.590665, 0.596293, 0.596607, 0.684793
30, 0.5, 0.181818, 0, 0.532032, 0.206766, 0.27844, 0.378952, 0.490471, 0.595666, 0.596439, 0.602738, 0.697633
31, 0.5, 0.136364, 0, 0.518262, 0.201889, 0.273392, 0.392166, 0.47698, 0.595636, 0.596289, 0.613771, 0.710478
32, 0.5, 0.0909091, 0, 0.508197, 0.19828, 0.269539, 0.405361, 0.463602, 0.595544, 0.59617, 0.623444, 0.72311
33, 0.5, 0.0454545, 0, 0.502062, 0.196064, 0.267126, 0.417919, 0.450939, 0.595479, 0.596094, 0.630314, 0.734872
34, 0.5, 0, 0, 0.5, 0.195317, 0.266305, 0.42547, 0.443354, 0.595455, 0.596068, 0.632852, 0.741618
