k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
1, 0, 0, 0, 0, 0, 0.319935, 0.377577, 0.387524, 0.38769, 0.487706, 0.487767, 0.536135
2, 0.00454545, 0.00227273, 0, 0.00454545, 0.00155765, 0.319932, 0.377564, 0.387525, 0.38769, 0.487714, 0.487771, 0.536127
3, 0.00909091, 0.00454545, 0, 0.00909091, 0.00311515, 0.319922, 0.377527, 0.387531, 0.38769, 0.487733, 0.487787, 0.536102
4, 0.0136364, 0.00681818, 0, 0.0136364, 0.00467253, 0.319905, 0.377464, 0.387539, 0.387691, 0.487755, 0.487823, 0.536061
5, 0.0181818, 0.00909091, 0, 0.0181818, 0.00622974, 0.319882, 0.377375, 0.387548, 0.387695, 0.487774, 0.487886, 0.536003
6, 0.0227273, 0.0113636, 0, 0.0227273, 0.00778675, 0.319852, 0.377261, 0.387557, 0.387704, 0.487792, 0.487971, 0.53593
7, 0.0272727, 0.0136364, 0, 0.0272727, 0.0093435, 0.319815, 0.377121, 0.387563, 0.387721, 0.487813, 0.488077, 0.535841
8, 0.0318182, 0.0159091, 0, 0.0318182, 0.0108999, 0.319771, 0.376955, 0.387564, 0.387748, 0.487837, 0.488202, 0.535736
9, 0.0363636, 0.0181818, 0, 0.0363636, 0.012456, 0.319721, 0.376763, 0.387562, 0.387784, 0.487864, 0.488345, 0.535616
10, 0.0409091, 0.0204545, 0, 0.0409091, 0.0140116, 0.319664, 0.376544, 0.387559, 0.387828, 0.487895, 0.488505, 0.535482
11, 0.0454545, 0.0227273, 0, 0.0454545, 0.0155668, 0.319601, 0.376298, 0.387554, 0.38788, 0.487929, 0.488683, 0.535335
12, 0.05, 0.025, 0, 0.05, 0.0171214, 0.319531, 0.376026, 0.387551, 0.387939, 0.487966, 0.488877, 0.535173
