k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
1, 0, 0, 0, 0, 0, 0.266793, 0.286696, 0.286717, 0.376789, 0.376847, 0.468681, 0.523005
2, 0.00454545, 0.00227273, 0, 0.00454545, 0.00133711, 0.266767, 0.286706, 0.28673, 0.376792, 0.376846, 0.468682, 0.522942
3, 0.00909091, 0.00454545, 0, 0.00909091, 0.00267417, 0.266686, 0.286701, 0.2868, 0.376796, 0.376846, 0.468684, 0.522631
4, 0.0136364, 0.00681818, 0, 0.0136364, 0.00401113, 0.266554, 0.28669, 0.286919, 0.376792, 0.376858, 0.468687, 0.522265
5, 0.0181818, 0.00909091, 0, 0.0181818, 0.00534808, 0.266371, 0.286674, 0.287085, 0.376774, 0.376887, 0.468692, 0.521844
6, 0.0227273, 0.0113636, 0, 0.0227273, 0.00668512, 0.26614, 0.286653, 0.287293, 0.376747, 0.376928, 0.468698, 0.521392
7, 0.0272727, 0.0136364, 0, 0.0272727, 0.0080214, 0.265864, 0.286627, 0.287542, 0.376712, 0.37698, 0.468705, 0.520857
8, 0.0318182, 0.0159091, 0, 0.0318182, 0.00935789, 0.265546, 0.286597, 0.287828, 0.37667, 0.377042, 0.468713, 0.520352
9, 0.0363636, 0.0181818, 0, 0.0363636, 0.0106941, 0.26519, 0.286562, 0.288148, 0.376622, 0.377114, 0.468721, 0.519835
10, 0.0409091, 0.0204545, 0, 0.0409091, 0.0120301, 0.264797, 0.286522, 0.288499, 0.376567, 0.377195, 0.468731, 0.519307
11, 0.0454545, 0.0227273, 0, 0.0454545, 0.0133657, 0.264372, 0.286477, 0.288877, 0.376506, 0.377287, 0.46874, 0.518765
12, 0.05, 0.025, 0, 0.05, 0.0147011, 0.263917, 0.286427, 0.289281, 0.376439, 0.377387, 0.46875, 0.51822
