k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
1, 0, 0, 0, 0, 0, 0.552709, 0.773227, 0.77323, 0.922997, 1.00017, 1.00017, 1.09282
2, 0.1, 0, 0, 0.1, 0.0897333, 0.551138, 0.7616, 0.774682, 0.907199, 1.00188, 1.00357, 1.11423
3, 0.2, 0, 0, 0.2, 0.178692, 0.544896, 0.728534, 0.778528, 0.880244, 1.00699, 1.01696, 1.10027
4, 0.3, 0, 0, 0.3, 0.265798, 0.528176, 0.685449, 0.783377, 0.860714, 1.01515, 1.03843, 1.09664
5, 0.4, 0, 0, 0.4, 0.348956, 0.490738, 0.652797, 0.787382, 0.849999, 1.02443, 1.06441, 1.09121
6, 0.5, 0, 0, 0.5, 0.412791, 0.441588, 0.641998, 0.788933, 0.846588, 1.02916, 1.08607, 1.08787
7, 0.5, 0.1, 0, 0.509902, 0.423741, 0.445781, 0.63823, 0.793147, 0.842943, 0.986523, 1.05018, 1.10383
8, 0.5, 0.2, 0, 0.538516, 0.454781, 0.457434, 0.627898, 0.805254, 0.826101, 0.927945, 1.00456, 1.10879
9, 0.5, 0.3, 0, 0.583095, 0.473767, 0.501279, 0.61358, 0.781467, 0.824181, 0.894949, 0.959051, 1.1107
10, 0.5, 0.4, 0, 0.640312, 0.489649, 0.556045, 0.59957, 0.719611, 0.849247, 0.884337, 0.917168, 1.11162
11, 0.5, 0.5, 0, 0.707107, 0.496836, 0.593141, 0.593154, 0.679169, 0.878684, 0.881977, 0.881982, 1.11192
12, 0.4, 0.4, 0, 0.565685, 0.470987, 0.546003, 0.606732, 0.743602, 0.839223, 0.882254, 0.93697, 1.11121
13, 0.3, 0.3, 0, 0.424264, 0.372435, 0.536186, 0.644572, 0.809689, 0.825804, 0.883642, 1.0102, 1.10725
14, 0.2, 0.2, 0, 0.282843, 0.252088, 0.542887, 0.698081, 0.789371, 0.888483, 0.897858, 1.07884, 1.09039
15, 0.1, 0.1, 0, 0.141421, 0.126841, 0.549908, 0.750378, 0.777261, 0.903059, 0.961984, 1.04191, 1.10004
16, 0, 0, 0, 0, 0, 0.552709, 0.773227, 0.77323, 0.922997, 1.00017, 1.00017, 1.09282
